stitch id flat 	 stitch id stereo 	 drugbank ids seperated with |
CID100078032	CID000078032	DB01246
CID103080904	CID003080904	DB00783
CID116134956	CID016134956	DB06655
CID116139342	CID016139342	DB09265
CID116132446	CID016132446	DB01278
CID100023703	CID000023703	DB04574
CID116129616	CID016129616	DB00017
