stitch id flat 	 stitch id stereo 	 drugbank ids seperated with |
CID100208898	CID000208898	DB04855
CID100001798	CID000004100	DB00703
CID100208902	CID000208902	DB00980
CID100004107	CID000004107	DB00423
CID100208908	CID000208908	DB01259|DB02584
CID100040973	CID000040973	DB00304
CID100004114	CID000004114	DB00553
CID100003350	CID000057363	DB07774|DB01216
CID100004121	CID000004121	DB00232
CID100002791	CID000032798	DB01013
CID100003251	CID000008223	DB00696
CID100004140	CID000008226	DB00353
CID100110634	CID000110634	DB00862
CID100110635	CID000110635	DB00820
CID105328940	CID005328940	DB06616
CID100213039	CID000213039	DB01264
CID100213046	CID000213046	DB08815
CID109871419	CID009871419	DB08816
CID100197281	CID006918204	DB00743
CID100004158	CID000004158	DB00422
CID100004168	CID000004168	DB01233
CID116220172	CID016220172	DB08820
CID100004170	CID000004170	DB00524
CID100004171	CID000004171	DB00264
CID100004173	CID000004173	DB00916
CID100004174	CID000004174	DB01011
CID100002631	CID005742673	DB00493
CID100004178	CID000004178	DB00379
CID100004184	CID000004184	DB06148
CID100004189	CID000004189	DB01110
CID100004192	CID000004192	DB00683
CID100004195	CID000004195	DB00211
CID100004197	CID000004197	DB00235
CID100004201	CID000004201	DB08225|DB00350
CID100004205	CID000004205	DB00370
CID100004211	CID000004211	DB00648
CID100004212	CID000004212	DB01204
CID100000119	CID000000119	DB02530
CID100057469	CID000057469	DB00724
CID100004264	CID000446596	DB00410
CID100000137	CID000000137	DB00855
CID100004235	CID000004235	DB01171
CID100004236	CID000004236	DB00745
CID110178705	CID010178705	DB06771
CID100152945	CID006918296	DB01126
CID100002756	CID000002756	DB00501
CID126275995	CID026275995	DB01017
CID100002524	CID005280453	DB00136|DB05314
CID100005077	CID000077990	DB00989
CID100077992	CID000077992	DB00998
CID106918313	CID006918313	DB06684
CID100012460	CID000012460	DB01579
CID100077998	CID000077998	DB00412
CID100000175	CID000000175	DB04184|DB03166
CID105001396	CID005001396	DB00682
CID100005525	CID005484727	DB00519
CID100004454	CID000008378	DB00452|DB00994
CID100000187	CID000000187	DB03128
CID100003938	CID000028864	DB00589
CID100061635	CID000061635	DB05260
CID100002764	CID000002764	DB00537|DB05488
CID100005155	CID000018283	DB00649
CID100002713	CID009552079	DB00878
CID100151165	CID006918365	DB00673
CID104479097	CID005460193	DB00200
CID100082146	CID000082146	DB00307
CID100082148	CID000082148	DB06594
CID100003379	CID000082153	DB00180
CID100013342	CID000241902	DB00570
CID100002274	CID005742832	DB00355
CID100000242	CID000000242	DB03793
CID100000244	CID000000244	DB06770
CID100000247	CID000000247	DB04455
CID105361917	CID005361917	DB06800
CID103010818	CID003010818	DB05521
CID100004139	CID000004139	DB08167
CID100441086	CID011953884	DB00646
CID100123606	CID000123606	DB00918
CID100000271	CID000000271	DB01373
CID100003255	CID000012560	DB00199
CID100022258	CID005284569	DB00956
CID100000297	CID000000297	DB04148
CID100041693	CID000041693	DB00708
CID100000303	CID000221493	DB02659
CID100000311	CID000000311	DB04272
CID106918456	CID006918456	DB06209
CID100004409	CID000004409	DB00461
CID100004421	CID000004421	DB00779
CID100065863	CID000065863	DB01153
CID100065866	CID000065866	DB00528
CID100012620	CID000012620	DB00632
CID100000338	CID000000338	DB00936|DB01397|DB01398
CID100004436	CID000004436	DB06711
CID100002559	CID000020824	DB00578
CID100057697	CID000057697	DB00885
CID100002786	CID000029029	DB01190
CID100004456	CID000004456	DB01400
CID100001301	CID000156391	DB00788|DB08298
CID100004463	CID000004463	DB00238|DB08311
CID100004473	CID000004473	DB00622
CID100004485	CID000004485	DB01115
CID105251896	CID006918537	DB04876
CID100004493	CID000004493	DB00665
CID100119182	CID000119182	DB00631|DB07554
CID100004497	CID000004497	DB00393
CID100004499	CID000004499	DB00401
CID100003696	CID000003696	DB00458|DB08002
CID100004506	CID000004506	DB01595
CID100004510	CID000004510	DB00727
CID100008612	CID000008612	DB01161
CID105353894	CID005353894	DB00733
CID105362420	CID005362420	DB00460
CID100004539	CID000004539	DB01059
CID100000444	CID000000444	DB01156
CID100004547	CID000065981	DB00912
CID100004543	CID000004543	DB00540
CID111235728	CID011243969	DB06335
CID100003937	CID005362118	DB00722
CID100147912	CID000147912	DB01263
CID100002311	CID005362123	DB00542
CID100004272	CID000446541	DB01024
CID100005038	CID005362129	DB00178
CID100016850	CID000016850	DB00693
CID102761171	CID002761171	DB00609
CID110482134	CID010482134	DB08909
CID100005650	CID000060846	DB00177
CID100004583	CID000004583	DB01165
CID100004585	CID000004585	DB00334
CID100005472	CID000005472	DB00208
