stitch id flat 	 stitch id stereo 	 drugbank ids seperated with |
CID100004101	CID000004101	DB06799
CID106918182	CID006918182	DB09267
CID100024642	CID000024642	DB09316
CID100065628	CID000065628	DB06769
CID100004274	CID000004274	DB11180
CID109912092	CID011561674	DB05676
CID100123015	CID005329098	DB06436
CID100004989	CID000708857	DB11156
CID100012555	CID000012555	DB09084
CID109883933	CID009883933	DB08872
CID100197712	CID006918493	DB06403
CID100004450	CID000004450	DB12293
CID106918584	CID006918584	DB06206
CID109966051	CID009966051	DB09068
CID100005636	CID005311236	DB06826
CID110107393	CID015950376	DB09151
CID100005238	CID000005238	DB12754|DB11119
CID100004695	CID000004695	DB09136
CID124822371	CID024822371	DB09149
CID100000785	CID000000785	DB09526
CID100000160	CID005280363	DB12789
CID100004810	CID000004810	DB09242
CID125074470	CID025074470	DB06825
CID100000813	CID000000813	DB01345
CID100004678	CID000131204	DB09357
CID124965990	CID024965990	DB09034
CID100119830	CID005481350	DB00300
CID100000946	CID000000946	DB12529
CID100000948	CID000000948	DB06690
CID100517045	CID000517045	DB09395
CID111531537	CID023652731	DB09039
CID100000961	CID000000961	DB09145
CID110028615	CID010077129	DB09030
CID109794842	CID010220503	DB09071
CID100013314	CID000013314	DB13872
CID100001084	CID000001084	DB09499
CID100017358	CID000017358	DB11104
CID111519069	CID011519069	DB09076
CID100021630	CID005355130	DB09496
CID100032797	CID005311051	DB11750
CID100005318	CID000005318	DB06820
CID103052762	CID003052762	DB06480
CID100004638	CID005281034	DB06412
CID100134019	CID000134019	DB06193
CID100005419	CID000005419	DB06764
CID109930048	CID009930048	DB06217
CID104479094	CID005281107	DB06410
CID100005483	CID000005483	DB06823
CID100005524	CID000005524	DB13064
CID100005565	CID000005565	DB06824
CID105277135	CID005277135	DB09101
CID113559279	CID013559281	DB08867
CID100003553	CID000443943	DB06786
CID111949646	CID011949646	DB09038
CID100005470	CID000444008	DB09070
CID106918638	CID006918638	DB05015
CID110465263	CID011658859	DB04871
CID100002914	CID000009880	DB04839
CID100009904	CID000009904	DB13169
CID100071348	CID000071348	DB06791
CID100489129	CID000489181	DB09040
CID111499245	CID011499245	DB09041
CID100061520	CID000071435	DB09498
CID100168924	CID000168924	DB06792
CID100022318	CID000022318	DB09276
CID100005939	CID000005939	DB13100
CID100039524	CID005311454	DB09118
CID100083513	CID000104810	DB12481
CID106333887	CID006918453	DB00995
CID100132999	CID000132999	DB09083
CID100003737	CID000003737	DB09133
CID104517618	CID004517618	DB09112
CID100023976	CID000104786	DB11140
CID100004734	CID009853654	DB00183
CID124950485	CID025151504	DB09065
CID100013344	CID000013344	DB09125
CID125077993	CID025077993	DB06788
CID111722286	CID017754356	DB08823
CID116132344	CID016132344	DB09067
CID106433082	CID006433082	DB06261
CID100002391	CID000002391	DB09020
CID100002442	CID000002442	DB09019
CID100047528	CID000047528	DB09220
CID106445540	CID006445540	DB04845
CID100443379	CID005462501	DB09477
CID100130564	CID009568613	DB00736
CID154677977	CID054684141	DB08880
CID125102847	CID025102847	DB08875
CID105310993	CID005310993	DB09055
CID100031264	CID000031264	DB09117
CID100014917	CID000014917	DB11072|DB11257
CID100002663	CID000002663	DB04846
CID100019190	CID005282412	DB09374
CID100154256	CID000154256	DB06401
CID109800339	CID011504294	DB09080
CID111501341	CID011501341	DB09148
CID106326970	CID006326970	DB11135
CID105311167	CID005311167	DB00596
CID100054313	CID005311181	DB01088
CID100027400	CID000027400	DB06153
CID100007187	CID000007187	DB09096
CID100015232	CID000015232	DB09323
CID100032800	CID009833444	DB09142
CID100003053	CID000003053	DB06805
CID100179344	CID000179344	DB09119
CID106442177	CID006442177	DB01590
CID100216416	CID000216416	DB06202
CID116126651	CID024821094	DB09053
CID103086685	CID006450551	DB06626
CID100023951	CID000023951	DB12403
CID100064929	CID000064929	DB13873
CID100004048	CID000011683	DB00351
CID100032169	CID000032169	DB09009
CID111001318	CID011001318	DB11644
CID100000598	CID000000598	DB09110
CID100044564	CID000044564	DB06794
CID100024087	CID000024087	DB00971
CID100073303	CID000073303	DB06211
CID116158473	CID071306891	DB09532
CID100091488	CID000091488	DB12553
CID100003736	CID000003736	DB09156
CID100003741	CID000003741	DB09134
CID100003742	CID000003742	DB09313
CID100003743	CID000003743	DB09135
CID116129617	CID016133802	DB01284
CID100005411	CID000005411	DB09085
CID100032281	CID000638678	DB09421
CID100003830	CID000003830	DB11336
CID100040703	CID000040703	DB09090
CID111304743	CID011304743	DB08931
CID100024414	CID000024414	DB11150
CID100024424	CID000024424	DB09322
CID100024450	CID000024450	DB09414|DB09413
CID109924495	CID009924495	DB08883
CID100034058	CID000065430	DB06784
CID100003998	CID000003998	DB06795
CID100004031	CID000004031	DB12554
CID100003734	CID000065492	DB08947
CID100024550	CID000024550	DB11092
