stitch id flat 	 stitch id stereo 	 drugbank ids seperated with |
CID100040976	CID000040976	DB00294
CID100004635	CID005464086	DB00497
CID100004120	CID000004120	DB00462
CID100005184	CID002723876	DB00747
CID100003255	CID000008233	DB00199
CID100001690	CID000032874	DB00445|DB00997
CID105462337	CID005462337	DB01250
CID100000143	CID000000143	DB00650|DB03256
CID100000143	CID000006006	DB00650|DB03256
CID100004253	CID000004253	DB00295
CID100000206	CID000000206	DB02944|DB02379|DB03989|DB02687
CID100012536	CID000012536	DB01260
CID100170361	CID000170361	DB01273
CID106435110	CID006435110	DB00602
CID100000298	CID000000298	DB00446
CID109810131	CID009852981	DB06590
CID125094462	CID045375808	DB08934
CID100004812	CID005280483	DB01022
CID100004623	CID005353853	DB00239
CID100002650	CID005362051	DB00438
CID154687131	CID054687131	DB00256
CID100000453	CID000000453	DB01638|DB00742
CID100123623	CID002826718	DB00520
CID106331630	CID011354606	DB08871
CID100016886	CID000016886	DB01262
CID100004609	CID000004609	DB00526|DB00958
CID100000612	CID000000612	DB03066|DB04398
CID100002800	CID001548954	DB00882
CID100123611	CID000123611	DB00569
CID100059708	CID005284583	DB01202
CID100214339	CID003003141	DB08933
CID100005040	CID005284616	DB00877
CID100041774	CID000041774	DB00284
CID100000206	CID000066370	DB02944|DB02379|DB03989|DB02687
CID100148191	CID006918289	DB06287
CID100004120	CID049800046	DB00462
CID100000923	CID000000923	DB01014
CID100000214	CID005280723	DB00770
CID100004736	CID000066386	DB00652
CID100054786	CID000054786	DB00374
CID100013342	CID000013342	DB00570
CID100005184	CID000005184	DB00747
CID100000604	CID000009290	DB04304
CID100054373	CID000054373	DB00104
CID100005051	CID005280954	DB01180
CID100003148	CID014476155	DB00757
CID100002476	CID006321408	DB00921
CID100001292	CID000001292	DB02280|DB03357
CID100002522	CID006436131	DB02300
CID100157920	CID000157920	DB01046
CID100002476	CID005281090	DB00921
CID100042955	CID006030697	DB00929|DB05379
CID111228026	CID011467166	DB08897
CID100152945	CID000152945	DB01126
CID100150310	CID024847741	DB00700
CID100005523	CID000005523	DB00193
CID100005530	CID000005530	DB00752|DB02665
CID103055172	CID006509979	DB00337
CID100004509	CID006604200	DB00698
CID100003443	CID003032525	DB02703
CID100004163	CID000009681	DB00247
CID100005530	CID000026069	DB00752|DB02665
CID100005297	CID006419957	DB01082
CID103055172	CID024847863	DB00337
CID100148191	CID024847874	DB06287
CID100005376	CID003032583	DB00675
CID100002462	CID000063006	DB01222
CID100039860	CID000039860	DB00486
CID100003000	CID000009793	DB00547
CID100002654	CID006375005	DB01415
CID100003685	CID000042593	DB01177
CID100156326	CID003036780	DB06216
CID100001065	CID000005768	DB00908|DB00468
CID100004253	CID005359250	DB00295
CID100001690	CID000001690	DB00445|DB00997
CID100000206	CID000005793	DB02944|DB02379|DB03989|DB02687
CID100003062	CID000030322	DB00390
CID100197281	CID000197281	DB00743
CID100000312	CID000000312	DB00318
