unii 	 drugbank_id 
5Z33R5TKO7	DB00174
KXO2KT9N0G	DB00175
3M8608UQ61	DB00175
O4L1XPO44W	DB00176
5LGN83G74V	DB00176
80M03YXJ7I	DB00177
L35JN3I7SJ	DB00178
7BO8G1BYQU	DB00179
78M02AA8KF	DB00180
N225H64CIH	DB00180
QK4DYS664X	DB00180
H789N3FKE8	DB00181
64OSE3996V	DB00181
CK833KGX7E	DB00182
Z58RH02W4M	DB00182
H527KAP6L5	DB00182
O1ZPV620O4	DB00182
6DPV8NK46S	DB00182
EF0NX91490	DB00183
6M3C89ZY6R	DB00184
7892ZN5G41	DB00184
R7M676M8YV	DB00184
K9V0CDQ56E	DB00185
P81Q6V85NP	DB00185
O26FZP769L	DB00186
MDY902UXSR	DB00187
V05260LC8D	DB00187
69G8BD63PP	DB00188
6EIM3851UZ	DB00189
KR87B45RGH	DB00190
MNX7R8C5VO	DB00190
C045TQL4WP	DB00191
0K2I505OTV	DB00191
3AZF20DM1T	DB00192
M76V0B96L5	DB00192
39J1LGJ30J	DB00193
9N7R477WCK	DB00193
FA2DM6879K	DB00194
O0ZR1R6RZ2	DB00195
6X97D2XT0O	DB00195
8VZV102JFY	DB00196
I66ZZ0ZN0E	DB00197
20O93L6F9H	DB00198
4A3O49NGEZ	DB00198
63937KV33D	DB00199
XRJ2P631HP	DB00199
1014KSJ86F	DB00199
2AY21R0U64	DB00199
33H58I7GLQ	DB00199
I8T8KU14X7	DB00199
LXW024X05M	DB00199
KVW9N83AME	DB00199
Y7A95YRI88	DB00199
Q40X8H422O	DB00200
S535M27N3Q	DB00200
3G6A5W338E	DB00201
U26EO4675Q	DB00201
J2R869A8YF	DB00202
I9L0DDD30I	DB00202
3M7OB98Y7H	DB00203
BW9B0ZE037	DB00203
R4Z9X1N2ND	DB00204
Z3614QOX8W	DB00205
8B1QWR724A	DB00206
J2KLZ20U1M	DB00207
5FD1131I7S	DB00207
JTE4MNN1MD	DB00207
OM90ZUW7M1	DB00208
A1L4914FMF	DB00208
T4Y8ORK057	DB00209
1E6682427E	DB00209
1L4806J2QF	DB00210
6YE7PBM15H	DB00211
59JV96YTXV	DB00211
LC7FBL96A4	DB00212
D8TST4O562	DB00213
1AL13B11R4	DB00213
6871619Q5X	DB00213
W31X2H97FB	DB00214
0DHU5B8D6V	DB00215
I1E9D14F36	DB00215
22QOO9B8KI	DB00216
M41W832TA3	DB00216
4139X692FA	DB00216
W8S3YM7AUU	DB00217
J4THI5N7O2	DB00217
U188XYD42P	DB00218
C53598599T	DB00218
B8956S8609	DB00218
