flat_chemical_id	stereo_chemical_id	source_cid	inchikey
CIDm00003056	CIDs10345629	10345629	BOBLHFUVNSFZPJ-QRWQUSLKSA-N
CIDm00032603	CIDs10346039	10346039	UFUVLHLTWXBHGZ-KUWMELJBSA-N
CIDm03086257	CIDs03086257	10349005	AMCBOCOWBIBIAY-UHFFFAOYSA-L
CIDm06333887	CIDs10372382	10372382	IDMMRTSWAXAENJ-BCKZNZOXSA-N
CIDm00042615	CIDs10374179	10374179	CUWODFFVMXJOKD-MLGZHLFXSA-N
CIDm00039524	CIDs10376822	10376822	IBLNKMRFIPWSOY-CCHGSNMVSA-N
CIDm00009904	CIDs10378880	10378880	NPAGDVCDWIYMMC-CPMZHIJVSA-N
CIDm00003425	CIDs10437301	10437301	OHRURASPPZQGQM-UQQUPJIASA-N
CIDm00002547	CIDs10439462	10439462	JNIIDKODPGHQSS-JPCQQRPQSA-N
CIDm00003256	CIDs10440662	10440662	NSYZCCDSJNWWJL-UVDSHTQCSA-N
CIDm00002547	CIDs10462095	10462095	JNIIDKODPGHQSS-NFUKNDRLSA-N
CIDm00071469	CIDs10463887	10463887	NNRXCKZMQLFUPL-QGLFZYGVSA-N
CIDm00042615	CIDs10464085	10464085	CUWODFFVMXJOKD-UILVTTEASA-N
CIDm10465263	CIDs10465263	10465263	XTTZERNUQAFMOF-UHFFFAOYSA-N
CIDm00206527	CIDs10470709	10470709	VUYNWBMXOQBJAI-NVXWUHKLSA-N
CIDm00000961	CIDs00104752	104752	XLYOFNOQVPJJNP-PWCQTSIFSA-N
CIDm00063001	CIDs10475845	10475845	MADRIHWFJGRSBP-UHFFFAOYSA-N
CIDm00023993	CIDs00104760	104760	VWQVUPCCIRVNHF-OUBTZVSYSA-N
CIDm00104778	CIDs00104778	104778	IVTMXOXVAHXCHI-YXLMWLKOSA-N
CIDm00014012	CIDs00104786	104786	VYZAMTAEIAYCRO-BJUDXGSMSA-N
CIDm00083606	CIDs00104798	104798	PWYYWQHXAPXYMF-UHFFFAOYSA-N
CIDm00000767	CIDs00000767	10480	PRKQVKDSMLBJBJ-UHFFFAOYSA-N
CIDm00005238	CIDs00104800	104800	XMBWDFGMSWQBCA-YPZZEJLDSA-N
CIDm00083513	CIDs00104810	104810	XDFCIPNJCBUZJN-UHFFFAOYSA-N
CIDm00004896	CIDs10484458	10484458	JDOZJEUDSLGTLU-YDAVOWJHSA-N
CIDm00219084	CIDs10484732	10484732	PCZHWPSNPWAQNF-LMOVPXPDSA-N
CIDm00023926	CIDs00104882	104882	FZLIPJUXYLNCLC-OUBTZVSYSA-N
CIDm00023926	CIDs00023926	104897	CZMAIROVPAYCMU-UHFFFAOYSA-N
CIDm00023993	CIDs00104964	104964	VWQVUPCCIRVNHF-NJFSPNSNSA-N
CIDm00005238	CIDs00104966	104966	XMBWDFGMSWQBCA-BKFZFHPZSA-N
CIDm00003641	CIDs00105029	105029	ALEXXDVDDISNDU-PBSBYMMBSA-N
CIDm00024393	CIDs00024393	105075	MVZXTUSAYBWAAM-UHFFFAOYSA-N
CIDm00005238	CIDs00105140	105140	XMBWDFGMSWQBCA-AHCXROLUSA-N
CIDm00000961	CIDs00105142	105142	XLYOFNOQVPJJNP-NJFSPNSNSA-N
CIDm00105145	CIDs00105145	105145	CKHJYUSOUQDYEN-UHFFFAOYSA-N
CIDm00105153	CIDs00105153	105153	NCCSSGKUIKYAJD-UHFFFAOYSA-N
CIDm00014917	CIDs00105162	105162	KRHYYFGTRYWZRS-BJUDXGSMSA-N
CIDm00023957	CIDs00105170	105170	GKLVYJBZJHMRIY-AHCXROLUSA-N
CIDm00023993	CIDs00105173	105173	VWQVUPCCIRVNHF-BJUDXGSMSA-N
CIDm00005238	CIDs00105175	105175	XMBWDFGMSWQBCA-CONNIKPHSA-N
CIDm00000160	CIDs10522105	10522105	PXGPLTODNUVGFL-BWEMOPLBSA-N
CIDm00216416	CIDs10527519	10527519	SFWYWKVSAHDQRB-SEDDDLTMSA-N
