chemical	alias	source
CIDm00037850	CIDs00037850	DrugBank	DB01803
CIDm00099963	CIDs05287579	DrugBank	DB01804
CIDm04478778	CIDs46936220	DrugBank	DB01805
CIDm00153766	CIDs46936221	DrugBank	DB01806
CIDm00656949	CIDs00656949	DrugBank	DB01807
CIDm17753936	CIDs17753936	DrugBank	DB01808
CIDm00001400	CIDs00001400	DrugBank	DB01809
CIDm05287438	CIDs05287438	DrugBank	DB01810
CIDm00114683	CIDs00114683	DrugBank	DB01811
CIDm00000073	CIDs46936223	DrugBank	DB01812
CIDm00444293	CIDs04369489	DrugBank	DB01813
CIDm00445571	CIDs46936225	DrugBank	DB01814
CIDm04476951	CIDs17754065	DrugBank	DB01815
CIDm00002592	CIDs11063191	DrugBank	DB01816
CIDm04471891	CIDs46936226	DrugBank	DB01817
CIDm00444635	CIDs46936227	DrugBank	DB01818
CIDm00001005	CIDs00001005	DrugBank	DB01819
CIDm00447392	CIDs46936228	DrugBank	DB01820
CIDm00656910	CIDs46936229	DrugBank	DB01821
CIDm00027682	CIDs00439407	DrugBank	DB01822
CIDm00444185	CIDs11776755	DrugBank	DB01823
CIDm05287501	CIDs46936230	DrugBank	DB01824
CIDm00448488	CIDs00448488	DrugBank	DB01825
CIDm00076008	CIDs00076008	DrugBank	DB01826
CIDm00657081	CIDs00657081	DrugBank	DB01827
CIDm00006329	CIDs00006329	DrugBank	DB01828
CIDm00003002	CIDs46936231	DrugBank	DB01829
CIDm00002208	CIDs09896036	DrugBank	DB01830
CIDm00446202	CIDs00446202	DrugBank	DB01831
CIDm00446167	CIDs00446167	DrugBank	DB01832
CIDm00000275	CIDs00439202	DrugBank	DB01833
CIDm00444461	CIDs46936232	DrugBank	DB01834
CIDm00448269	CIDs00448269	DrugBank	DB01835
CIDm00446399	CIDs00446399	DrugBank	DB01836
CIDm00000189	CIDs06995273	DrugBank	DB01837
CIDm00128600	CIDs00128600	DrugBank	DB01838
CIDm00001030	CIDs00001030	DrugBank	DB01839
CIDm00448372	CIDs00448372	DrugBank	DB01840
CIDm00298280	CIDs46936233	DrugBank	DB01841
CIDm00001603	CIDs46936234	DrugBank	DB01842
CIDm00445717	CIDs46936235	DrugBank	DB01843
CIDm00006228	CIDs00006228	DrugBank	DB01844
CIDm00007705	CIDs00007705	DrugBank	DB01845
CIDm03509873	CIDs46936236	DrugBank	DB01846
CIDm00448879	CIDs00448879	DrugBank	DB01847
CIDm00000649	CIDs00000649	DrugBank	DB01849
CIDm04478472	CIDs46936237	DrugBank	DB01850
CIDm00016027	CIDs00016027	DrugBank	DB01851
CIDm05280863	CIDs05280863	DrugBank	DB01852
CIDm00159821	CIDs46936238	DrugBank	DB01853
CIDm00001808	CIDs00001808	DrugBank	DB01854
CIDm17753863	CIDs46936240	DrugBank	DB01855
CIDm00000385	CIDs00000385	DrugBank	DB01856
CIDm00000832	CIDs00152441	DrugBank	DB01857
CIDm05288259	CIDs05288259	DrugBank	DB01858
CIDm00000060	CIDs46936241	DrugBank	DB01859
CIDm00001601	CIDs46936242	DrugBank	DB01860
CIDm00001166	CIDs46936243	DrugBank	DB01861
CIDm00009711	CIDs02802070	DrugBank	DB01862
CIDm00000478	CIDs13830686	DrugBank	DB01863
CIDm00001764	CIDs06324623	DrugBank	DB01864
CIDm04473613	CIDs05287720	DrugBank	DB01865
CIDm00413605	CIDs00447536	DrugBank	DB01866
CIDm00000174	CIDs00000174	DrugBank	DB01867
CIDm06368594	CIDs70789210	DrugBank	DB01868
CIDm00000840	CIDs06713579	DrugBank	DB01869
CIDm00445237	CIDs00445999	DrugBank	DB01870
CIDm03364674	CIDs05289424	DrugBank	DB01871
CIDm00440173	CIDs00440173	DrugBank	DB01872
CIDm00148190	CIDs46936246	DrugBank	DB01873
CIDm00079038	CIDs00446337	DrugBank	DB01874
CIDm00015113	CIDs00015113	DrugBank	DB01875
CIDm00002280	CIDs00002280	DrugBank	DB01876
CIDm00445010	CIDs17754173	DrugBank	DB01877
CIDm00003102	CIDs00003102	DrugBank	DB01878
CIDm00656973	CIDs46936247	DrugBank	DB01879
CIDm00002518	CIDs00689043	DrugBank	DB01880
CIDm00447583	CIDs04369603	DrugBank	DB01881
CIDm00448220	CIDs00448220	DrugBank	DB01882
CIDm05289343	CIDs05289343	DrugBank	DB01883
CIDm00447256	CIDs00447256	DrugBank	DB01884
CIDm00000736	CIDs00151504	DrugBank	DB01885
CIDm00449128	CIDs46936248	DrugBank	DB01887
CIDm05287990	CIDs05287990	DrugBank	DB01888
CIDm00101989	CIDs00101989	DrugBank	DB01889
CIDm00446320	CIDs46936249	DrugBank	DB01890
CIDm00005489	CIDs00444425	DrugBank	DB01891
CIDm00003662	CIDs00003662	DrugBank	DB01892
CIDm00446795	CIDs46936250	DrugBank	DB01893
CIDm00000906	CIDs36690637	DrugBank	DB01894
CIDm00002243	CIDs46936251	DrugBank	DB01895
CIDm00092269	CIDs00092269	DrugBank	DB01896
CIDm05326847	CIDs06105620	DrugBank	DB01897
CIDm00237657	CIDs06604760	DrugBank	DB01898
CIDm04634225	CIDs17754026	DrugBank	DB01899
CIDm00001140	CIDs00001140	DrugBank	DB01900
CIDm00071947	CIDs46936252	DrugBank	DB01901
CIDm00016842	CIDs00016842	DrugBank	DB01902
CIDm00001806	CIDs46936253	DrugBank	DB01903
CIDm00000827	CIDs00006912	DrugBank	DB01904
CIDm05326548	CIDs05353303	DrugBank	DB01905
CIDm00448406	CIDs00448406	DrugBank	DB01906
CIDm00000925	CIDs06093167	DrugBank	DB01907
CIDm05287515	CIDs46936255	DrugBank	DB01908
CIDm00024796	CIDs46936256	DrugBank	DB01909
CIDm00065482	CIDs46936257	DrugBank	DB01910
CIDm00444708	CIDs00444708	DrugBank	DB01911
CIDm00444486	CIDs00444486	DrugBank	DB01912
CIDm03363162	CIDs17754177	DrugBank	DB01913
CIDm00024748	CIDs00167792	DrugBank	DB01914
CIDm00165339	CIDs00165339	DrugBank	DB01915
CIDm00001045	CIDs00001045	DrugBank	DB01917
CIDm00001954	CIDs00001954	DrugBank	DB01918
CIDm00008063	CIDs00008063	DrugBank	DB01919
CIDm00092941	CIDs00735951	DrugBank	DB01920
CIDm00445614	CIDs00445614	DrugBank	DB01921
CIDm00448828	CIDs46936258	DrugBank	DB01922
CIDm00657101	CIDs46936259	DrugBank	DB01923
CIDm00010313	CIDs00010313	DrugBank	DB01924
CIDm00178518	CIDs00178518	DrugBank	DB01925
CIDm06323262	CIDs46936260	DrugBank	DB01926
CIDm00068238	CIDs00068238	DrugBank	DB01927
CIDm00001253	CIDs00854026	DrugBank	DB01928
CIDm04627204	CIDs04627204	DrugBank	DB01929
CIDm00000848	CIDs00439251	DrugBank	DB01930
CIDm00001779	CIDs00001779	DrugBank	DB01931
CIDm00012023	CIDs00012023	DrugBank	DB01932
CIDm00072271	CIDs46936262	DrugBank	DB01933
CIDm09988024	CIDs46936263	DrugBank	DB01934
CIDm00133842	CIDs00657144	DrugBank	DB01935
CIDm00000993	CIDs09996708	DrugBank	DB01936
CIDm00003525	CIDs46936264	DrugBank	DB01937
CIDm00110993	CIDs06541406	DrugBank	DB01938
CIDm00001800	CIDs00001800	DrugBank	DB01939
CIDm05287747	CIDs46936265	DrugBank	DB01940
CIDm00003922	CIDs00003922	DrugBank	DB01941
CIDm00000283	CIDs00000283	DrugBank	DB01942
CIDm00449205	CIDs46936266	DrugBank	DB01943
CIDm03476986	CIDs05287792	DrugBank	DB01944
CIDm05180210	CIDs06323427	DrugBank	DB01945
CIDm00002403	CIDs00002403	DrugBank	DB01946
CIDm05287463	CIDs05287463	DrugBank	DB01947
CIDm00447725	CIDs00447725	DrugBank	DB01948
CIDm00445856	CIDs00445856	DrugBank	DB01949
CIDm00448014	CIDs00448014	DrugBank	DB01950
CIDm00003504	CIDs00445501	DrugBank	DB01951
CIDm00104994	CIDs00104994	DrugBank	DB01952
CIDm00027933	CIDs00027933	DrugBank	DB01953
CIDm00005092	CIDs00448055	DrugBank	DB01954
CIDm00008064	CIDs00008064	DrugBank	DB01955
CIDm00001123	CIDs00001123	DrugBank	DB01956
CIDm00007933	CIDs00007933	DrugBank	DB01957
CIDm00003537	CIDs00003537	DrugBank	DB01958
CIDm00656969	CIDs00656969	DrugBank	DB01959
CIDm00001896	CIDs46936268	DrugBank	DB01960
CIDm00066535	CIDs06328756	DrugBank	DB01961
CIDm00030819	CIDs00030819	DrugBank	DB01962
CIDm00065389	CIDs00065389	DrugBank	DB01963
CIDm00001612	CIDs00444612	DrugBank	DB01964
CIDm00448381	CIDs46936269	DrugBank	DB01965
CIDm00102547	CIDs17754130	DrugBank	DB01966
CIDm10386467	CIDs11987780	DrugBank	DB01967
CIDm03371857	CIDs05806800	DrugBank	DB01968
CIDm00449575	CIDs46936270	DrugBank	DB01969
CIDm17754023	CIDs46936271	DrugBank	DB01970
CIDm00001178	CIDs00736715	DrugBank	DB01971
CIDm00000761	CIDs05748251	DrugBank	DB01972
CIDm03354087	CIDs17754162	DrugBank	DB01973
CIDm04468929	CIDs46936272	DrugBank	DB01974
CIDm00446724	CIDs46936273	DrugBank	DB01975
CIDm00011885	CIDs00011885	DrugBank	DB01976
CIDm00447732	CIDs00447732	DrugBank	DB01977
CIDm00414013	CIDs00414013	DrugBank	DB01978
CIDm00002108	CIDs00101798	DrugBank	DB01979
CIDm04636047	CIDs05288643	DrugBank	DB01980
CIDm00446806	CIDs46936274	DrugBank	DB01981
CIDm00000610	CIDs26470758	DrugBank	DB01982
CIDm00001473	CIDs00444965	DrugBank	DB01983
CIDm04630073	CIDs46936275	DrugBank	DB01984
CIDm00067427	CIDs00067427	DrugBank	DB01985
CIDm00285552	CIDs00285552	DrugBank	DB01986
CIDm00001132	CIDs00001132	DrugBank	DB01987
CIDm04369379	CIDs04369379	DrugBank	DB01988
CIDm03311404	CIDs46936276	DrugBank	DB01989
CIDm00065076	CIDs46936278	DrugBank	DB01990
CIDm00449223	CIDs46936279	DrugBank	DB01991
CIDm00000317	CIDs46936280	DrugBank	DB01992
CIDm00444773	CIDs00446862	DrugBank	DB01993
CIDm00001522	CIDs00001522	DrugBank	DB01994
CIDm00192785	CIDs05748377	DrugBank	DB01995
CIDm00007970	CIDs00007970	DrugBank	DB01996
CIDm00001649	CIDs00001649	DrugBank	DB01997
CIDm00446388	CIDs46936281	DrugBank	DB01998
CIDm05289350	CIDs05289350	DrugBank	DB01999
CIDm00004775	CIDs00004775	DrugBank	DB02000
CIDm00003534	CIDs00003534	DrugBank	DB02001
CIDm03332061	CIDs03332061	DrugBank	DB02002
CIDm00444551	CIDs00444551	DrugBank	DB02003
CIDm00448436	CIDs00448436	DrugBank	DB02004
CIDm03277972	CIDs05780665	DrugBank	DB02005
CIDm05288010	CIDs46936283	DrugBank	DB02006
CIDm00000208	CIDs46936284	DrugBank	DB02007
CIDm00447371	CIDs00447371	DrugBank	DB02008
CIDm00004318	CIDs46936285	DrugBank	DB02009
CIDm00005279	CIDs44120114	DrugBank	DB02010
CIDm00124992	CIDs00124992	DrugBank	DB02011
CIDm04475494	CIDs04475494	DrugBank	DB02013
CIDm00447994	CIDs00447994	DrugBank	DB02014
CIDm00000661	CIDs16219270	DrugBank	DB02015
CIDm00001949	CIDs00001949	DrugBank	DB02016
CIDm00657137	CIDs46936286	DrugBank	DB02017
CIDm00002138	CIDs00002138	DrugBank	DB02018
CIDm04471188	CIDs04471188	DrugBank	DB02019
CIDm00002120	CIDs00002120	DrugBank	DB02020
CIDm00003349	CIDs00449156	DrugBank	DB02021
CIDm00000777	CIDs00000777	DrugBank	DB02022
CIDm00447903	CIDs46936287	DrugBank	DB02023
CIDm00000107	CIDs00000107	DrugBank	DB02024
CIDm00003860	CIDs00448130	DrugBank	DB02025
CIDm00003439	CIDs46936288	DrugBank	DB02026
CIDm00439091	CIDs00656911	DrugBank	DB02027
CIDm04634718	CIDs46936289	DrugBank	DB02028
CIDm00004357	CIDs00004357	DrugBank	DB02029
CIDm00000212	CIDs46936290	DrugBank	DB02030
CIDm00001129	CIDs46936291	DrugBank	DB02031
CIDm00002550	CIDs00688267	DrugBank	DB02032
CIDm54676102	CIDs54687250	DrugBank	DB02033
CIDm00005363	CIDs10975968	DrugBank	DB02034
CIDm00003572	CIDs00003572	DrugBank	DB02035
CIDm00448475	CIDs00448475	DrugBank	DB02036
CIDm02733980	CIDs02733980	DrugBank	DB02037
CIDm00002931	CIDs00445005	DrugBank	DB02038
CIDm03354085	CIDs15648760	DrugBank	DB02039
CIDm00095014	CIDs00095014	DrugBank	DB02041
CIDm00090255	CIDs00090255	DrugBank	DB02042
CIDm00065144	CIDs46936292	DrugBank	DB02043
CIDm00001433	CIDs00001433	DrugBank	DB02044
CIDm00008060	CIDs00008060	DrugBank	DB02045
CIDm00449500	CIDs00449500	DrugBank	DB02046
CIDm00022810	CIDs00448006	DrugBank	DB02047
CIDm00445106	CIDs03387240	DrugBank	DB02048
CIDm00005111	CIDs00005111	DrugBank	DB02049
CIDm00079689	CIDs00079689	DrugBank	DB02050
CIDm03396482	CIDs46936293	DrugBank	DB02051
CIDm05326739	CIDs05326739	DrugBank	DB02052
CIDm00002219	CIDs00448027	DrugBank	DB02053
CIDm00007419	CIDs00007419	DrugBank	DB02054
CIDm00019241	CIDs00019241	DrugBank	DB02055
CIDm00004956	CIDs00448457	DrugBank	DB02056
CIDm00001221	CIDs00158397	DrugBank	DB02057
CIDm00001633	CIDs17754180	DrugBank	DB02058
CIDm00000192	CIDs00447048	DrugBank	DB02059
CIDm00007967	CIDs00007967	DrugBank	DB02060
CIDm00000294	CIDs46936190	DrugBank	DB02061
CIDm05478838	CIDs05478838	DrugBank	DB02062
CIDm05326672	CIDs23646721	DrugBank	DB02063
CIDm00445801	CIDs46936294	DrugBank	DB02065
CIDm00326807	CIDs46936295	DrugBank	DB02066
CIDm03371862	CIDs46936296	DrugBank	DB02067
CIDm00000138	CIDs00000138	DrugBank	DB02068
CIDm00004290	CIDs00004290	DrugBank	DB02069
CIDm00000846	CIDs00161165	DrugBank	DB02070
CIDm00004368	CIDs00004368	DrugBank	DB02071
CIDm00001521	CIDs00001521	DrugBank	DB02072
CIDm00000251	CIDs05353439	DrugBank	DB02073
CIDm00019499	CIDs00637090	DrugBank	DB02074
CIDm00001262	CIDs46936297	DrugBank	DB02075
CIDm00000422	CIDs22820300	DrugBank	DB02076
CIDm00656912	CIDs00656912	DrugBank	DB02077
CIDm00008189	CIDs00008189	DrugBank	DB02078
CIDm00000285	CIDs00000285	DrugBank	DB02079
CIDm00446308	CIDs00446308	DrugBank	DB02080
CIDm00001499	CIDs12374050	DrugBank	DB02081
CIDm00001822	CIDs46936298	DrugBank	DB02082
CIDm00000673	CIDs00000673	DrugBank	DB02083
CIDm05326677	CIDs46936299	DrugBank	DB02084
CIDm00000535	CIDs00000535	DrugBank	DB02085
CIDm05460502	CIDs05460502	DrugBank	DB02086
CIDm00446275	CIDs00446275	DrugBank	DB02087
CIDm00281246	CIDs00444720	DrugBank	DB02088
CIDm00445383	CIDs00445383	DrugBank	DB02089
CIDm00004393	CIDs17754156	DrugBank	DB02090
CIDm00447956	CIDs00447956	DrugBank	DB02091
CIDm00092819	CIDs46936301	DrugBank	DB02092
CIDm00446761	CIDs46936302	DrugBank	DB02093
CIDm00002671	CIDs00002671	DrugBank	DB02094
CIDm00007054	CIDs00007054	DrugBank	DB02095
CIDm00447340	CIDs00447340	DrugBank	DB02096
CIDm00000596	CIDs00453552	DrugBank	DB02097
CIDm00002027	CIDs06102530	DrugBank	DB02098
CIDm00657066	CIDs00657066	DrugBank	DB02099
CIDm00002108	CIDs00076935	DrugBank	DB02100
CIDm00003349	CIDs00449156	DrugBank	DB02101
CIDm00003138	CIDs46936303	DrugBank	DB02102
CIDm00072194	CIDs00072194	DrugBank	DB02103
CIDm00447815	CIDs00447815	DrugBank	DB02104
CIDm01810907	CIDs01810907	DrugBank	DB02105
CIDm05287509	CIDs17753786	DrugBank	DB02106
CIDm00007908	CIDs00642324	DrugBank	DB02107
CIDm04471892	CIDs04471892	DrugBank	DB02108
CIDm00012717	CIDs00012717	DrugBank	DB02109
CIDm00004972	CIDs00004972	DrugBank	DB02110
CIDm00448651	CIDs00448651	DrugBank	DB02111
CIDm00448062	CIDs00448062	DrugBank	DB02112
CIDm05287547	CIDs05287547	DrugBank	DB02113
CIDm00007464	CIDs00007464	DrugBank	DB02114
CIDm00107971	CIDs00107971	DrugBank	DB02115
CIDm00004592	CIDs00004592	DrugBank	DB02116
CIDm00448940	CIDs00448940	DrugBank	DB02118
CIDm00000218	CIDs00000218	DrugBank	DB02119
CIDm00193758	CIDs10749764	DrugBank	DB02120
CIDm00010927	CIDs00010927	DrugBank	DB02121
CIDm04634714	CIDs04634714	DrugBank	DB02122
CIDm00012544	CIDs00012544	DrugBank	DB02123
CIDm00448825	CIDs46936304	DrugBank	DB02124
CIDm00064151	CIDs00064151	DrugBank	DB02125
CIDm00089196	CIDs00697959	DrugBank	DB02126
CIDm00003073	CIDs00003073	DrugBank	DB02127
CIDm03281176	CIDs46936305	DrugBank	DB02128
CIDm00000648	CIDs00439216	DrugBank	DB02129
CIDm00008468	CIDs00008468	DrugBank	DB02130
CIDm05288319	CIDs05288319	DrugBank	DB02131
CIDm00005724	CIDs00005724	DrugBank	DB02132
CIDm04626993	CIDs21772888	DrugBank	DB02133
CIDm00001188	CIDs00001188	DrugBank	DB02134
CIDm00657027	CIDs00657028	DrugBank	DB02135
CIDm04473865	CIDs46936307	DrugBank	DB02136
CIDm06323424	CIDs23304238	DrugBank	DB02137
CIDm00003050	CIDs00003050	DrugBank	DB02138
CIDm00445990	CIDs00445990	DrugBank	DB02139
CIDm00002785	CIDs05287869	DrugBank	DB02140
CIDm00001337	CIDs00001337	DrugBank	DB02141
CIDm00001053	CIDs00001053	DrugBank	DB02142
CIDm00447029	CIDs00447029	DrugBank	DB02143
CIDm05282295	CIDs46936309	DrugBank	DB02144
CIDm00000263	CIDs00000263	DrugBank	DB02145
CIDm04473092	CIDs46936311	DrugBank	DB02146
CIDm03393379	CIDs03393379	DrugBank	DB02147
CIDm03355727	CIDs05289348	DrugBank	DB02148
CIDm00446561	CIDs46936312	DrugBank	DB02150
CIDm00444719	CIDs00444719	DrugBank	DB02151
CIDm00003813	CIDs03035817	DrugBank	DB02152
CIDm00000109	CIDs01549097	DrugBank	DB02153
CIDm00446510	CIDs05496628	DrugBank	DB02154
CIDm00448327	CIDs46936313	DrugBank	DB02155
CIDm00440717	CIDs00440717	DrugBank	DB02156
CIDm00005425	CIDs00014463	DrugBank	DB02157
CIDm17754092	CIDs46936314	DrugBank	DB02158
CIDm00001030	CIDs00259994	DrugBank	DB02159
CIDm04628304	CIDs46936315	DrugBank	DB02160
CIDm00003623	CIDs00447234	DrugBank	DB02161
CIDm00448466	CIDs46936316	DrugBank	DB02162
CIDm00007259	CIDs00007259	DrugBank	DB02163
CIDm04631218	CIDs06323317	DrugBank	DB02164
CIDm00062742	CIDs00062742	DrugBank	DB02165
CIDm00004939	CIDs00004939	DrugBank	DB02166
CIDm00151045	CIDs00151045	DrugBank	DB02167
CIDm05287830	CIDs05287830	DrugBank	DB02168
CIDm00004584	CIDs46936318	DrugBank	DB02169
CIDm05326637	CIDs05326637	DrugBank	DB02170
CIDm00000618	CIDs14620017	DrugBank	DB02171
CIDm00001472	CIDs11073745	DrugBank	DB02172
CIDm00000738	CIDs00005961	DrugBank	DB02174
CIDm00000867	CIDs00000867	DrugBank	DB02175
CIDm00015337	CIDs16685160	DrugBank	DB02176
CIDm00000998	CIDs00000998	DrugBank	DB02178
CIDm00445155	CIDs00445155	DrugBank	DB02179
CIDm00001126	CIDs46936319	DrugBank	DB02180
CIDm00000646	CIDs13602803	DrugBank	DB02181
CIDm00444522	CIDs00444522	DrugBank	DB02182
CIDm00019001	CIDs00446094	DrugBank	DB02184
CIDm00002358	CIDs00445228	DrugBank	DB02185
CIDm00440235	CIDs00440271	DrugBank	DB02186
CIDm00003247	CIDs00223368	DrugBank	DB02187
CIDm04369126	CIDs04369126	DrugBank	DB02188
CIDm00001460	CIDs00065304	DrugBank	DB02189
CIDm00000972	CIDs00446264	DrugBank	DB02190
CIDm00277251	CIDs11987779	DrugBank	DB02191
CIDm00006054	CIDs00006054	DrugBank	DB02192
CIDm00445839	CIDs05353306	DrugBank	DB02193
CIDm00002829	CIDs46936320	DrugBank	DB02194
CIDm05288238	CIDs05288238	DrugBank	DB02195
CIDm00001167	CIDs00023700	DrugBank	DB02196
CIDm05288527	CIDs05288527	DrugBank	DB02197
CIDm00006226	CIDs00006226	DrugBank	DB02198
CIDm04633685	CIDs04633685	DrugBank	DB02199
CIDm03396481	CIDs46936321	DrugBank	DB02200
CIDm00000867	CIDs00000867	DrugBank	DB02201
CIDm00007896	CIDs00446973	DrugBank	DB02202
CIDm00006406	CIDs00006406	DrugBank	DB02203
CIDm00119066	CIDs05287846	DrugBank	DB02205
CIDm00001893	CIDs00001893	DrugBank	DB02207
CIDm00001055	CIDs00001055	DrugBank	DB02209
CIDm00012374	CIDs00012374	DrugBank	DB02210
CIDm00015178	CIDs05289295	DrugBank	DB02211
CIDm00001023	CIDs00001023	DrugBank	DB02212
CIDm00004085	CIDs46936322	DrugBank	DB02213
CIDm00447426	CIDs46936323	DrugBank	DB02214
CIDm00774282	CIDs00774282	DrugBank	DB02215
CIDm00024417	CIDs00024417	DrugBank	DB02216
CIDm00448050	CIDs05288101	DrugBank	DB02217
CIDm00001735	CIDs46936324	DrugBank	DB02218
CIDm00070815	CIDs00070815	DrugBank	DB02219
CIDm00001296	CIDs03013848	DrugBank	DB02220
CIDm00446241	CIDs00446241	DrugBank	DB02221
CIDm00447001	CIDs00447001	DrugBank	DB02222
CIDm17754067	CIDs46936325	DrugBank	DB02223
CIDm00000471	CIDs00439533	DrugBank	DB02224
CIDm00447776	CIDs00447776	DrugBank	DB02225
CIDm05289507	CIDs05289507	DrugBank	DB02226
CIDm00448431	CIDs00448431	DrugBank	DB02227
CIDm00315411	CIDs05288324	DrugBank	DB02228
CIDm17754090	CIDs46936326	DrugBank	DB02229
CIDm00001334	CIDs46936327	DrugBank	DB02230
CIDm00000289	CIDs00000289	DrugBank	DB02232
CIDm00097725	CIDs00097725	DrugBank	DB02233
CIDm00005139	CIDs00005139	DrugBank	DB02234
CIDm00000847	CIDs09577091	DrugBank	DB02235
CIDm00000152	CIDs06323325	DrugBank	DB02236
CIDm00000870	CIDs46936329	DrugBank	DB02237
CIDm00000473	CIDs00000473	DrugBank	DB02238
CIDm00011578	CIDs00011578	DrugBank	DB02239
CIDm00020193	CIDs21158865	DrugBank	DB02240
CIDm00002507	CIDs46936330	DrugBank	DB02241
CIDm00069702	CIDs00069702	DrugBank	DB02242
CIDm05180209	CIDs46936331	DrugBank	DB02243
CIDm04470573	CIDs04470573	DrugBank	DB02245
CIDm04636208	CIDs05288660	DrugBank	DB02247
CIDm05287760	CIDs46936332	DrugBank	DB02248
CIDm00008076	CIDs00008076	DrugBank	DB02249
CIDm00471824	CIDs00471824	DrugBank	DB02250
CIDm00000955	CIDs00000955	DrugBank	DB02251
CIDm00011575	CIDs00011575	DrugBank	DB02252
CIDm05287502	CIDs05287502	DrugBank	DB02253
CIDm00445771	CIDs00445771	DrugBank	DB02254
CIDm00003498	CIDs00132519	DrugBank	DB02255
CIDm00000640	CIDs01263358	DrugBank	DB02256
CIDm00004354	CIDs00004354	DrugBank	DB02257
CIDm09887303	CIDs09887303	DrugBank	DB02258
CIDm00448661	CIDs00448661	DrugBank	DB02259
CIDm00001755	CIDs00001755	DrugBank	DB02260
CIDm00002499	CIDs00108156	DrugBank	DB02261
CIDm00000967	CIDs00000967	DrugBank	DB02262
CIDm00000729	CIDs00439168	DrugBank	DB02263
CIDm00439915	CIDs46936333	DrugBank	DB02264
CIDm00137936	CIDs00137936	DrugBank	DB02265
CIDm00003371	CIDs00003371	DrugBank	DB02266
CIDm00000828	CIDs00448718	DrugBank	DB02267
CIDm00446367	CIDs00446367	DrugBank	DB02268
CIDm00446978	CIDs00446978	DrugBank	DB02269
CIDm05288123	CIDs05288123	DrugBank	DB02270
CIDm00122639	CIDs46936334	DrugBank	DB02271
CIDm00001021	CIDs00001021	DrugBank	DB02272
CIDm00029096	CIDs01712076	DrugBank	DB02273
CIDm00000173	CIDs36688193	DrugBank	DB02274
CIDm03289294	CIDs46936335	DrugBank	DB02275
CIDm00004699	CIDs17754079	DrugBank	DB02276
CIDm00446816	CIDs00446816	DrugBank	DB02277
CIDm03340355	CIDs03340355	DrugBank	DB02278
CIDm00011915	CIDs00011915	DrugBank	DB02279
CIDm00001292	CIDs00439616	DrugBank	DB02280
CIDm00081225	CIDs01550916	DrugBank	DB02281
CIDm00000149	CIDs00688097	DrugBank	DB02282
CIDm00446854	CIDs00446854	DrugBank	DB02283
CIDm00002108	CIDs06997328	DrugBank	DB02284
CIDm00004971	CIDs00004971	DrugBank	DB02285
CIDm17753790	CIDs17753790	DrugBank	DB02286
CIDm00445839	CIDs05353306	DrugBank	DB02287
CIDm05326689	CIDs10904076	DrugBank	DB02288
CIDm00100714	CIDs00100714	DrugBank	DB02289
CIDm00657023	CIDs00657024	DrugBank	DB02290
CIDm05287541	CIDs05287541	DrugBank	DB02292
CIDm00446372	CIDs46936336	DrugBank	DB02293
CIDm00004527	CIDs46936338	DrugBank	DB02294
CIDm00448379	CIDs00448379	DrugBank	DB02295
CIDm00031260	CIDs00031260	DrugBank	DB02296
CIDm00118458	CIDs00118458	DrugBank	DB02297
CIDm17753864	CIDs46936339	DrugBank	DB02298
CIDm00002233	CIDs00445032	DrugBank	DB02299
CIDm00002522	CIDs05288783	DrugBank	DB02300
CIDm03379861	CIDs06323520	DrugBank	DB02301
CIDm00169148	CIDs00169148	DrugBank	DB02302
CIDm00001283	CIDs46936340	DrugBank	DB02303
CIDm00004955	CIDs06441243	DrugBank	DB02304
CIDm00445037	CIDs71299813	DrugBank	DB02305
CIDm00122218	CIDs46936342	DrugBank	DB02306
CIDm00448836	CIDs17754028	DrugBank	DB02307
CIDm05288139	CIDs05288139	DrugBank	DB02308
CIDm00005698	CIDs46936344	DrugBank	DB02309
CIDm00168130	CIDs00168130	DrugBank	DB02310
CIDm00099129	CIDs11892832	DrugBank	DB02311
CIDm00000208	CIDs46936284	DrugBank	DB02312
CIDm00002060	CIDs46936345	DrugBank	DB02313
CIDm00001160	CIDs46936346	DrugBank	DB02314
CIDm00000295	CIDs46936347	DrugBank	DB02315
CIDm11113760	CIDs11113760	DrugBank	DB02316
CIDm00000466	CIDs00087916	DrugBank	DB02317
CIDm00163491	CIDs14607364	DrugBank	DB02318
CIDm00447659	CIDs46936348	DrugBank	DB02319
CIDm00151446	CIDs10376202	DrugBank	DB02320
CIDm00000495	CIDs46936349	DrugBank	DB02321
CIDm00363885	CIDs46936350	DrugBank	DB02322
CIDm00446201	CIDs46936352	DrugBank	DB02323
CIDm00168944	CIDs46936353	DrugBank	DB02324
CIDm00003776	CIDs00003776	DrugBank	DB02325
CIDm00001562	CIDs06323374	DrugBank	DB02326
CIDm00008172	CIDs00008172	DrugBank	DB02327
CIDm04633682	CIDs05288538	DrugBank	DB02328
CIDm00002561	CIDs46936354	DrugBank	DB02329
CIDm00447369	CIDs17753764	DrugBank	DB02331
CIDm00000703	CIDs05702617	DrugBank	DB02332
CIDm00000689	CIDs46936355	DrugBank	DB02333
CIDm00443233	CIDs00443250	DrugBank	DB02334
CIDm00015689	CIDs00015689	DrugBank	DB02335
CIDm00447527	CIDs46936356	DrugBank	DB02336
CIDm00446994	CIDs00446994	DrugBank	DB02337
CIDm00000930	CIDs05702548	DrugBank	DB02338
CIDm00447560	CIDs00447560	DrugBank	DB02339
