chemical	alias	source
CIDm00003226	CIDs00003226	DrugBank	DB00228
CIDm00002635	CIDs00043708	DrugBank	DB00229
CIDm00125889	CIDs05486971	DrugBank	DB00230
CIDm00005391	CIDs00005391	DrugBank	DB00231
CIDm00004121	CIDs00004121	DrugBank	DB00232
CIDm00004649	CIDs00004649	DrugBank	DB00233
CIDm00065856	CIDs00065856	DrugBank	DB00234
CIDm00004197	CIDs00004197	DrugBank	DB00235
CIDm00004842	CIDs00004842	DrugBank	DB00236
CIDm00002479	CIDs00002479	DrugBank	DB00237
CIDm00004463	CIDs00004463	DrugBank	DB00238
CIDm00004623	CIDs05361462	DrugBank	DB00239
CIDm04630253	CIDs05311000	DrugBank	DB00240
CIDm00002481	CIDs00002481	DrugBank	DB00241
CIDm00001546	CIDs00020279	DrugBank	DB00242
CIDm00056959	CIDs00056959	DrugBank	DB00243
CIDm00004075	CIDs00004075	DrugBank	DB00244
CIDm00002344	CIDs01201549	DrugBank	DB00245
CIDm00060853	CIDs00060853	DrugBank	DB00246
CIDm00004163	CIDs06540428	DrugBank	DB00247
CIDm00002512	CIDs00054746	DrugBank	DB00248
CIDm00003687	CIDs00005905	DrugBank	DB00249
CIDm00002955	CIDs00002955	DrugBank	DB00250
CIDm00005404	CIDs00441383	DrugBank	DB00251
CIDm00001775	CIDs00001775	DrugBank	DB00252
CIDm00004043	CIDs00247839	DrugBank	DB00253
CIDm25880656	CIDs54671203	DrugBank	DB00254
CIDm00003054	CIDs00003054	DrugBank	DB00255
CIDm54687131	CIDs54707177	DrugBank	DB00256
CIDm00002812	CIDs00002812	DrugBank	DB00257
CIDm00006116	CIDs00006116	DrugBank	DB00258
CIDm00005333	CIDs00005333	DrugBank	DB00259
CIDm00000401	CIDs00006234	DrugBank	DB00260
CIDm00002182	CIDs00002182	DrugBank	DB00261
CIDm00002578	CIDs00002578	DrugBank	DB00262
CIDm00005344	CIDs00005344	DrugBank	DB00263
CIDm00004171	CIDs00004171	DrugBank	DB00264
CIDm00002883	CIDs00002883	DrugBank	DB00265
CIDm25201794	CIDs25201794	DrugBank	DB00266
CIDm00002624	CIDs09570757	DrugBank	DB00267
CIDm00005095	CIDs00005095	DrugBank	DB00268
CIDm00011289	CIDs00011289	DrugBank	DB00269
CIDm00003784	CIDs00003784	DrugBank	DB00270
CIDm00002140	CIDs00002140	DrugBank	DB00271
CIDm00007741	CIDs00007741	DrugBank	DB00272
CIDm00005514	CIDs05284627	DrugBank	DB00273
CIDm00002625	CIDs00042008	DrugBank	DB00274
CIDm00158781	CIDs00158781	DrugBank	DB00275
CIDm00002179	CIDs00002179	DrugBank	DB00276
CIDm00002153	CIDs00002153	DrugBank	DB00277
CIDm00002232	CIDs00152951	DrugBank	DB00278
CIDm00000861	CIDs00005920	DrugBank	DB00279
CIDm00003114	CIDs00003114	DrugBank	DB00280
CIDm00003676	CIDs00003676	DrugBank	DB00281
CIDm00004673	CIDs00004673	DrugBank	DB00282
CIDm00002781	CIDs00026986	DrugBank	DB00283
CIDm00041774	CIDs00441184	DrugBank	DB00284
CIDm00005656	CIDs00005656	DrugBank	DB00285
CIDm00000699	CIDs03001028	DrugBank	DB00286
CIDm00123597	CIDs05282226	DrugBank	DB00287
CIDm00002133	CIDs00443958	DrugBank	DB00288
CIDm00054840	CIDs00054840	DrugBank	DB00289
CIDm00072466	CIDs05360373	DrugBank	DB00290
CIDm00002708	CIDs00002708	DrugBank	DB00291
CIDm00036339	CIDs00198290	DrugBank	DB00292
CIDm00104758	CIDs00104758	DrugBank	DB00293
CIDm00040976	CIDs06917715	DrugBank	DB00294
CIDm00004253	CIDs05288826	DrugBank	DB00295
CIDm00071273	CIDs00175804	DrugBank	DB00296
CIDm00002474	CIDs00002474	DrugBank	DB00297
CIDm03033538	CIDs03033538	DrugBank	DB00298
CIDm00004725	CIDs00004725	DrugBank	DB00299
CIDm00064987	CIDs00464205	DrugBank	DB00300
CIDm00003364	CIDs00021319	DrugBank	DB00301
CIDm00005526	CIDs00005526	DrugBank	DB00302
CIDm00150610	CIDs00150610	DrugBank	DB00303
CIDm00040973	CIDs00040973	DrugBank	DB00304
CIDm00005746	CIDs00005746	DrugBank	DB00305
CIDm00008275	CIDs00008275	DrugBank	DB00306
CIDm00082146	CIDs00082146	DrugBank	DB00307
CIDm00060752	CIDs00060752	DrugBank	DB00308
CIDm00040839	CIDs00040839	DrugBank	DB00309
CIDm00002732	CIDs00002732	DrugBank	DB00310
CIDm00003295	CIDs00003295	DrugBank	DB00311
CIDm00004737	CIDs00004737	DrugBank	DB00312
CIDm00003121	CIDs00003121	DrugBank	DB00313
CIDm03000502	CIDs03000502	DrugBank	DB00314
CIDm00005731	CIDs00060857	DrugBank	DB00315
CIDm00001983	CIDs00001983	DrugBank	DB00316
CIDm00123631	CIDs00123631	DrugBank	DB00317
CIDm00000312	CIDs05284371	DrugBank	DB00318
