rxnorm_cui 	 drugbank_ids with | as seperator  
33562	DB00529
73107	DB00922
3648	DB00450
3418	DB00320
4530	DB03843
1539753	DB09040
19499	DB00901
9873	DB09325
283810	DB00905
6756	DB01365
325646	DB09026
27100	DB04865
6064	DB00982
33910	DB00270
31819	DB00507
684879	DB00165
32022	DB01486
423	DB01426
9639	DB01037
8611	DB06812
25033	DB00671
6929	DB06148
6579	DB09407
81864	DB00523
141366	DB00952
797195	DB06702
4335	DB08979
72965	DB01006
3500	DB01081
282446	DB01263
60207	DB00869
190548	DB00932
1364347	DB08901
29046	DB00722
1091643	DB08822
1603296	DB09078
60212	DB01117
3109	DB00694
9392	DB00867
1427222	DB05829
214470	DB00004
3036	DB00138
10734	DB00752
20861	DB08800
2598	DB01068
318341	DB00002
1712	DB00083
3925	DB00467
8745	DB01069
21090	DB01188
2348	DB00446
5956	DB01362
1364449	DB04941
29418	DB13092
2399	DB00856
3642	DB00366
341248	DB00973
38085	DB11582
27946	DB06706
37790	DB00469
9899	DB09072
797752	DB11627
1599538	DB09075
11248	DB00115
9949	DB09422
6048	DB13156
107771	DB00944
4448	DB00301
36108	DB01399
88249	DB00471
42328	DB00637
1545653	DB09038
1244607	DB08819
1242806	DB05013
19605	DB08807
1430438	DB08916
625	DB06742
596724	DB00261
7813	DB06412
1302966	DB08889
10172	DB06150
107770	DB04843
8782	DB00818
4126	DB01143
68503	DB06283
38668	DB01108
34369	DB01130
1495153	DB13168
5690	DB01598
8047	DB01186
7801	DB01580
1314420	DB12176
75207	DB00559
35350	DB00409
20881	DB09007
16818	DB00459
190376	DB00601
3392	DB09095
10847	DB00792
322167	DB01591
274403	DB01277
196319	DB00039
5781	DB00328
2580	DB01407
1000492	DB02709
38377	DB09216
2193	DB01212
1116632	DB08816
40790	DB00213
3350	DB00720
4910	DB09462
356887	DB06282
598	DB00770
56795	DB00708
1044584	DB08869
1112973	DB06681
115698	DB00246
9344	DB00811
10824	DB01214
36908	DB01348
1369713	DB08910
2685	DB00375
1813	DB01210
10391	DB09085
6814	DB01433
135391	DB00768
56570	DB09098
4441	DB01195
52769	DB00235
69749	DB00177
3489	DB08995
23744	DB00645
3289	DB00514
1098413	DB05294
69646	DB06822
5302	DB01355
31901	DB01422
3443	DB00343
6011	DB01247
349753	DB09449
22696	DB00405
4186	DB09086
283742	DB00736
263010	DB00081
32915	DB06285
134404	DB00094
7512	DB00368
7005	DB01204
8628	DB01058
4457	DB01205
2594	DB00636
16681	DB00284
426	DB00160
44157	DB00242
10239	DB00391
898492	DB00048
7518	DB09389
21125	DB08810
338036	DB00019
28181	DB01587
6960	DB00683
10175	DB00664
36514	DB01105
70561	DB00377
139994	DB00038
2373	DB01178
863035	DB04890
321988	DB01175
1827	DB00490
6464	DB05137
21311	DB01553
260038	DB01404
10485	DB00352
623	DB01122
358263	DB00820
138099	DB01155
6825	DB00463
17381	DB01352
22713	DB01209
7004	DB00648
86009	DB00046
25437	DB08965
4451	DB01099
9796	DB09512
20343	DB00821
8896	DB00852
7781	DB00842
10811	DB00376
6911	DB00247
7538	DB01051
8770	DB00777
32673	DB01428
3393	DB00861
1291609	DB08876
8701	DB00721
7456	DB09152
1300786	DB08893
6135	DB01026
41289	DB00308
51499	DB00762
15202	DB00278
24830	DB08981
10432	DB01041
10156	DB00364
15070	DB08905
39994	DB04828
819300	DB06674
24853	DB00800
299635	DB00092
262323	DB00078
1596450	DB00798
133050	DB01574
10362	DB00444
1314344	DB01992
47613	DB11093
1490468	DB09071
1546223	DB00271
11359	DB00137
108074	DB13158
40575	DB00744
136411	DB00203
720	DB00613
8699	DB01599
193	DB08842
9066	DB04575
2358	DB00878
2184	DB01329
7812	DB00935
1599832	DB05341
8620	DB01297
10337	DB01956
2635	DB11082
5936	DB04711
1363268	DB08875
18651	DB08961
321952	DB00337
6672	DB00643
1012892	DB08868
139825	DB01307
10553	DB02513
1314372	DB09473
7486	DB06690
17627	DB01616
644	DB00594
5970	DB09133
1426	DB06770
23088	DB01551
47858	DB05246
5764	DB00808
595060	DB01270
50975	DB06788
4316	DB01023
299081	DB08823
1102129	DB08873
901805	DB06720
10588	DB13025
3827	DB00584
36676	DB01390
1535944	DB11608
10637	DB00525
42359	DB01056
6582	DB01377
6910	DB01107
10825	DB01246
1902	DB09116
1314412	DB03147
3446	DB00566
1114326	DB05039
118886	DB00460
6826	DB00703
10834	DB00726
38998	DB06439
7402	DB06803
10814	DB00279
35185	DB01589
9939	DB09099
10878	DB09158
10958	DB08841
40048	DB00958
236388	DB00825
54993	DB09125
4094	DB04573
38413	DB00214
275891	DB01610
407990	DB01012
265323	DB01024
1044977	DB09357
259280	DB00031
6690	DB09124
5924	DB00638
6384	DB00644
3267	DB08997
26237	DB00889
42368	DB01228
132871	DB00511
62174	DB01089
4450	DB00196
3013	DB00434
10438	DB00277
7934	DB01421
4952	DB00024
8687	DB01087
1306286	DB09101
29561	DB00760
17311	DB01425
679314	DB01267
612	DB06723
763450	DB06372
19737	DB00963
9504	DB00118
2231	DB00567
2400	DB01114
11416	DB01593
16689	DB06736
57258	DB00697
700810	DB01255
10565	DB01584
46303	DB06288
2176	DB00833
32968	DB00758
56188	DB00010
1488564	DB06292
282357	DB00947
117055	DB00087
30225	DB09285
38685	DB00662
8328	DB01085
72143	DB00481
167	DB00819
4182	DB00926
828529	DB00062
784649	DB06216
8691	DB00794
3356	DB00485
1242987	DB08828
