MESH 	 drugbank_ids with | as seperator  
C539351	DB11979
C506614	DB07101
D001545	DB12783
D001544	DB12867
C042288	DB12712
C411602	DB12181
C026023	DB12901
C009546	DB13747
C410959	DB12482
C005682	DB11924
D000549	DB01122
D020891	DB12518
D000781	DB13853
C016517	DB12881
D007650	DB12465
D009950	DB13026
C055267	DB12833
C085079	DB13018
C510342	DB11894
D003847	DB08831
C005924	DB13003
C520511	DB02292
C032855	DB12598
C007761	DB00875
C031327	DB13132
D012645	DB11142
C017774	DB01116
C005900	DB00620
C027125	DB12749
D001973	DB12028
C013983	DB12131
C052785	DB11656
C412603	DB12072
D004659	DB12358
C548173	DB11977
C058876	DB13082
C012258	DB06693
C568605	DB12387
C548233	DB13108
C504882	DB01685
D019327	DB06778
D010417	DB06154
C004180	DB01234
C100099	DB04253
D001558	DB11125
D009540	DB04145
D009547	DB11820
C484302	DB13020
C014282	DB09202
C545606	DB12588
D008549	DB12864
D014535	DB03041
C103207	DB12436
C003726	DB12902
C054851	DB04628
C002070	DB12480
C039276	DB12245
C027185	DB12379
D001553	DB12319
C005586	DB01435
C104428	DB12355
C018465	DB13746
C030973	DB11134
C119615	DB11964
C031242	DB01246
C025813	DB04704
C021065	DB12843
C521104	DB12302
C058305	DB12695
D009340	DB12293
D002594	DB11073
C571806	DB12066
C109238	DB11906
C005975	DB12771
C511224	DB12621
D000965	DB13110
C551661	DB12200
C499715	DB12139
C041836	DB13056
C005865	DB13124
C006753	DB04711
D002019	DB13346
C010247	DB00594
D004918	DB00199
D000841	DB07374
D001895	DB11203
C030578	DB00446
C046943	DB03523
C024262	DB00717
C016766	DB12422
C490707	DB12614
C542398	DB07941
D014749	DB13374
C041525	DB08399
C033479	DB11159
D008234	DB12474
C539997	DB11864
C033563	DB00502
C000873	DB00959
C053267	DB01416
D000143	DB13879
C568612	DB11957
C518940	DB13061
C569762	DB12138
D004137	DB11831
C021322	DB00860
C569673	DB12360
C064357	DB12092
D009556	DB13031
C005465	DB08624
C004999	DB07767
D009888	DB12930
C090499	DB12327
D011442	DB13307
D011280	DB12972
D001464	DB12481
C004497	DB13153
D006997	DB11123
C011386	DB09186
C552150	DB11665
C030814	DB12148
C009361	DB11185
C514135	DB13440
D002101	DB02994
C404743	DB11669
D019324	DB06732
D019328	DB12870
D019329	DB12551
C049985	DB02152
D014994	DB09419
D008711	DB13520
C038377	DB01356
D003005	DB13792
C041514	DB07301
C063828	DB12883
C040738	DB01112
C012153	DB08550
C117948	DB11909
D001950	DB01158
C525726	DB11963
D014993	DB01904
D006858	DB11072
C001803	DB12449
D013578	DB09203
C065166	DB11783
C089946	DB11898
D002193	DB12328
D002192	DB12221
C118739	DB11841
C022118	DB00855
D014199	DB12310
C033607	DB12290
D001104	DB11217
C025034	DB12947
C030123	DB04665
C562356	DB12113
C018861	DB11186
D001624	DB00443
C064976	DB11919
C042986	DB12610
C111599	DB11757
C009006	DB09418
C539419	DB11944
D012838	DB09298
D012835	DB11080
D012834	DB12965
C039803	DB00741
D010984	DB12257
C029141	DB13111
C506967	DB11758
D010696	DB12944
C097256	DB12094
C049347	DB08162
C557331	DB12491
C030262	DB00620
C008970	DB13518
C040929	DB06733
C031606	DB03884
D002857	DB11136
C032302	DB11738
C064541	DB12549
C001899	DB12025
D013185	DB11460
D003961	DB12873
D000537	DB11342
C409043	DB04796
C570288	DB11827
C028026	DB04461
C120227	DB12429
C016527	DB12665
C010845	DB11081
C021650	DB00741
C575255	DB12645
C058728	DB12577
C100442	DB02570
C004605	DB11148
D000875	DB11157
C061121	DB13066
D000585	DB11561
C005398	DB11304
C009760	DB09516
D015107	DB04699
C023650	DB06728
C062018	DB06444
C063638	DB12531
C009540	DB11155
D012822	DB11132
C009166	DB00162
C542859	DB08897
C051076	DB12117
C431890	DB12664
C039979	DB12184
C039602	DB11259
D013767	DB12484
C032278	DB04468
C031367	DB12343
C010473	DB13813
C515547	DB12168
D019307	DB07996
C058229	DB11263
C553340	DB11966
C517861	DB12662
D002734	DB02133
D017307	DB13781
C525250	DB12432
D003642	DB13352
C093323	DB12681
C031389	DB11085
C025583	DB00301
C010809	DB12248
C082182	DB12629
C024307	DB12752
C579046	DB12380
C062720	DB11675
D013034	DB06727
D000804	DB11842
C015568	DB12661
C503948	DB12149
C002963	DB07841
D015056	DB07954
C413355	DB07425
C056599	DB12052
D011435	DB12450
C539549	DB12263
C005185	DB09206
C032038	DB04586
D020911	DB00465
D004099	DB04326
D015643	DB00199
C009022	DB00860
D005997	DB04660
D007986	DB00044
C005156	DB04510
D007736	DB11937
C024989	DB09270
C058081	DB12273
C058083	DB12869
C082748	DB07720
C016837	DB01593
C520612	DB12220
C096921	DB12758
C561234	DB11697
C020491	DB13174
C561238	DB12900
D020003	DB12452
D019207	DB06755
D005018	DB13259
D002724	DB11386
D019803	DB03310
C515616	DB12805
C052091	DB11702
C018038	DB01234
C078157	DB11940
C038616	DB01098
D014304	DB13038
D014303	DB01676
C015854	DB00783
C053355	DB13050
C115774	DB02690
C410767	DB05154
C035385	DB00366
C520571	DB12129
C545357	DB12326
C499823	DB13105
C002979	DB12697
D047310	DB07352
C539933	DB11759
C073341	DB04734
C073340	DB00863
C099178	DB12912
C103873	DB12232
D015125	DB11145
C112106	DB12316
D009118	DB12458
C016392	DB11875
C569672	DB12201
C479889	DB12988
C051272	DB12704
D017998	DB11858
C038678	DB12521
D012974	DB11119
C036466	DB04599
C008922	DB12582
C026535	DB12160
C051360	DB12946
C011272	DB12727
D016651	DB01356
C045651	DB12116
D060754	DB11674
C029402	DB12173
C005830	DB12709
C013835	DB11748
C533237	DB12047
C010052	DB12617
C107602	DB12410
D014532	DB01861
C561635	DB13024
D014531	DB03501
C550724	DB11645
C017590	DB12086
C542342	DB12572
C006477	DB11371
C048341	DB12083
D014222	DB00620
C030419	DB05767
C078052	DB11774
C082359	DB11421
D002392	DB12039
C422910	DB11890
D010891	DB12478
C084831	DB01625
C543534	DB12270
D010892	DB12492
C031512	DB01345
C038068	DB12766
