MESH 	 drugbank_ids with | as seperator  
C025130	DB01589
D007528	DB00221
D010396	DB00859
D010425	DB01090
D010426	DB00686
D007520	DB01247
D010423	DB00652
C012482	DB02279
D000092	DB00414
D000093	DB02788
D009571	DB03040
D010424	DB00312
C005331	DB01486
D010394	DB01359
C042852	DB00556
C005111	DB00340
D010643	DB00925
D007785	DB04465
D010645	DB00191
D010646	DB00692
D008559	DB01043
D008558	DB01042
C015044	DB03054
D008550	DB01065
D011464	DB01240
C058815	DB03693
C008757	DB04257
D053590	DB00026
D014635	DB00313|DB00510
C047360	DB00949
D015365	DB00467
D015366	DB00487
D007654	DB01026
C026116	DB00214
C100234	DB00767
D000433	DB03175
D000431	DB00898
D011112	DB00781
D017294	DB00904
D012460	DB00795
D016729	DB00007
D011284	DB02789
C415250	DB01609
D012266	DB01936
D019298	DB03581
C062876	DB00050
D019297	DB04528
D020148	DB03568
D017706	DB00722
C474021	DB02052
C020976	DB00972
D017035	DB00175
D003843	|DB03798
D003840	DB03619
D003841	DB02594
D003022	DB00257
D003023	DB01147
D003024	DB00363
C031638	DB01557
C044815	DB00294
D000068877	DB00619
C010432	|DB04837
D005479	DB00690
D005478	DB00846
C071741	DB00899
D009173	DB01024
D005473	DB00472
D005472	DB00544
D005475	DB00875
D005474	DB01185
D005476	DB00623
D012642	DB01037
D013738	DB00894
D000069472	DB00930
D000069470	DB00285
D000069478	DB01255
C030691	DB13180
D002794	DB00122
D003534	DB04839
D003533	DB00434
D000068677	DB00203
C010238	DB01213
D005277	DB00574
D008316	DB04524
D008315	DB03057
D000068296	DB00884
D000068299	DB00938
D000068298	DB00588
D005279	DB00573
D001205	DB00126
D001971	DB01200
D001977	DB00835
D000068900	DB01261
D009288	DB00788
D001374	DB00928
D001375	DB01667
C070766	DB04261
D010644	DB00946
C012078	DB02638
D001379	DB00993
C068373	DB00876
D006879	DB00200
D002174	DB01152
D004656	DB00584
D008653	DB00933
C012255	DB00349
C015451	DB02925
C100416	DB00008
C034666	DB04161
D008139	DB00836
D008130	DB01206
C005522	DB01553
C053091	DB00978
C068805	DB03410
C029658	DB03766
D010418	DB00183
D007538	DB00951
D007530	DB00753
D007531	DB00677
C004639	DB00606
D004329	DB00450
D010098	DB00497
C100093	DB04729
C479831	DB01950
D010094	|DB03209
D009543	DB01115
C012655	DB04743
C009118	DB01291
C005101	DB04843
D010073	DB01096
D010072	DB03940
D015774	DB01004
C037815	DB00251
C037760	DB03588
D010894	DB00554
D010890	DB00670
C059240	DB00185
C495910	DB00980
C080163	DB00685
C023665	DB01560
C005219	DB02806
D007649	DB01221
D008942	DB01204
D017576	DB00080
C015144	DB03760
D015283	DB00215
D015282	DB00104
D015281	DB00267
D016559	DB00864
C490728	DB01259
D010672	DB00252
C419708	DB00317
D003892	DB01078
D012255	DB01904
D011299	DB04825
C002101	DB01683
D012256	DB00140
C099860	DB04778
D003898	DB01260
C003853	DB02426
C010087	DB03852
C006358	DB00551
C040015	DB02375
C043877	DB00659
C044809	DB03470
C048833	DB00745
C058302	DB00691
C032538	DB01688
C031625	DB01923
C031626	DB02053
D013726	DB00871
C045463	DB01097
C010667	DB03059
C106791	DB00976
D020372	DB01191
D000069464	DB01591
D003493	DB01000
D003495	DB04838
C030110	DB00526
C058278	DB04631
D002784	DB04540
D003543	DB00847
C041014	DB03369|
D003545	DB00151
C030592	DB01571
C030374	DB04532
C016163	DB00385
C030371	DB00116
D002945	DB00515
D002762	DB00169
D019840	DB02325
D013619	DB00382
D005467	DB00322
D005468	DB03761
D005469	DB00324
D014747	DB00570
D014740	DB00194
C106812	DB00718
D000068338	DB01590
C017014	DB01419
D008238	DB04829
C083544	|DB00001
C070081	DB00947
D002166	DB04690
D002164	DB01744
C053268	DB01416
D014273	DB00508
D001418	DB00181
C012716	DB00288
D001414	DB00626
D004133	|DB03608
C474615	DB02545
C007005	DB00821
C475587	DB04662
C053081	DB01901
C053083	DB00963
C026223	DB03438
D000324	DB01285
D007810	DB03696
C108128	DB00998
D009553	DB00393
C042734	DB01220
C003402	DB00360
D010718	|DB00144
D010248	DB01384
C431085	DB04707
C029063	DB04551
C008500	DB02282
D015760	DB00802
D015764	DB01244
D015765	DB01430
D015766	DB00518
D015767	DB00358
D010068	DB00713
D007490	DB04818
D010885	DB00236
C015715	DB01294
C087896	DB00015
C554150	DB00011
C031967	DB01367
D010404	DB00417
C042398	DB00192
C047340	DB01106
C103303	DB00523
D000241	DB00640
C010175	DB00801
D008687	DB00331
D008680	DB00610
C043265	DB01606
D008939	DB00648
C043266	DB01413
D015296	DB01332
D010665	DB00397
C043060	DB01785
D000657	DB00543
D011139	DB01324
C005717	DB00807
D016589	DB00637
C107201	DB00932
D053626	DB01117
C056516	DB00990
D065819	DB00582
D017292	DB00590
D017291	DB01211
C031183	DB03193
D017298	DB00612
C044834	DB01249
C084656	DB00910
D013999	DB00373
C043114	DB01320
D000069458	DB00243
D013752	DB00759
D013974	DB00451
C007527	DB01491
C010679	DB01125
D014403	DB01199
D013759	DB00470
D000069454	DB01264
D013196	DB01517|DB02901
D003484	DB02679
D012110	DB00206
C006723	DB00676
D000068581	DB00820
D000068580	DB01273
D000068180	DB01238
D003000	DB00575
D003553	DB00138
D003006	DB01624
C017576	DB00957
D019856	DB03994
D002753	DB00356
D002752	DB00310
D005259	DB00093
C087255	DB01252
D002207	DB00314
D002974	DB00283
D002976	DB01407
C041359	DB00857
C093788	DB03010
D020912	DB01171
C102786	DB00362
D006641	DB03811
D020280	DB01104
D014975	DB00137
D001310	DB00995
D014750	DB00541
D014751	DB00309
D006152	DB02315
D006852	DB00999
D006853	DB00956
D006151	DB02857
D006854	DB00741
D005632	DB04173
C013015	DB01094
C035605	DB00461
C007257	|DB04457
C021139	DB00261
C021137	DB00240
C028815	DB00017
C099328	DB02534
C083418	DB00377
C062735	DB00549
C426859	DB01319
D014191	DB00752
D002997	DB01242
D002996	DB00882
D002994	DB00636
D002991	DB00845
D002990	DB11750
D013409	DB00634
C008425	DB02216
C032157	DB03127
C073225	DB04533
C052342	DB00273
C026211	DB02640
D000680	DB01612
D009526	|DB04820
D009525	DB00627
D009529	DB00622
C047723	DB01878
C004616	DB01161
D001539	DB00436
D008063	DB00166
C042705	DB00059
D043343	DB01420
D014498	DB03419
C059262	DB00369
C056507	DB00441
C098320	DB00625
D001627	DB00217
D009638	DB00368
D009637	DB00179
C019248	DB00282
C019249	DB02289
C005273	DB03467
D010479	DB01186
C086276	DB00439
C027765	DB02210
D008454	DB00579
D007665	DB00920
D007660	DB01009
D008692	DB01433
D000666	DB00681
C065757	DB00814
D008691	DB00333
D000661	DB00182
D000547	DB00915
C047246	DB00853
D015242	DB01165
C005703	DB03819
D016597	DB01157
D016595	DB00929
C063533	DB00204
