"folding"	"fol"	"The bending and positioning of a molecule to achieve conformational integrity."	
"hydrolysis"	"hyd"	"The splitting of a molecule via the specific use of water."	"clv"
"polymerization"	"pom"	"The addition of extra monomers to form a polymer."	"met"
