CTD MESH/OMIM 	 type 	 CTD cuis divided by | 	 Disease ontology divided by | 	 cui names 
D010494	MESH		DOID:11481	
D015464	MESH		DOID:8552	
D008659	MESH		DOID:0014667	
D001714			DOID:3312	
D012512	MESH		DOID:3369	
D010009	MESH		DOID:12721|DOID:2256	
D006951	MESH		DOID:1168	
D011782	MESH		DOID:12697|DOID:12835	
D003881	MESH		DOID:1563	
D010547	MESH		DOID:13042	
D011546	MESH		DOID:0060855|DOID:0060854|DOID:4479	
D011547	MESH		DOID:4184	
D011017	MESH		DOID:3241	
D011014			DOID:552	
D011015	MESH		DOID:0050152|DOID:3240	
D016269	MESH		DOID:4376	
D012891	MESH		DOID:0050848	
D015209			DOID:14268	
D018310	MESH		DOID:2997	
D014522	MESH		DOID:732	
D016464	MESH		DOID:3211	
D018777	MESH		DOID:4661	
D016460	MESH		DOID:3777	
D054882	MESH		DOID:0050462	
C535908	MESH		DOID:560	
D056735	MESH		DOID:6688	
D015840	MESH		DOID:10866|DOID:10864|DOID:11550	
D016649	MESH		DOID:5426	
D016643	MESH		DOID:5435	
D016640			DOID:11714	
D007645	MESH		DOID:3390	
D020065	MESH		DOID:900	
D007647	MESH		DOID:2382	
D011164	MESH		DOID:13268	
D019190	MESH		DOID:12119	
D005955	MESH		DOID:2862	
D003929	MESH		DOID:9743|DOID:12785|DOID:11503	
D003389	MESH		DOID:5656|DOID:3817	
D003924			DOID:9352	
D013922	MESH		DOID:2228	
D013924	MESH		DOID:3875	
D003920			DOID:9351	
D003923	MESH		DOID:11712	
D017681	MESH		DOID:999	
D017682	MESH		DOID:9767	
D020324	MESH		DOID:5340	
D020325	MESH		DOID:10024	
D020326	MESH		DOID:12783	
D007762	MESH		DOID:1468	
D017689	MESH		DOID:1148	
D020329			DOID:4990	
D049310	MESH		DOID:11720	
D002528	MESH		DOID:4205	
D046350	MESH		DOID:4346	
D002526	MESH		DOID:2786	
D013322	MESH		DOID:10955	
D002095			DOID:10323	
D014813	MESH		DOID:11249	
D012811	MESH		DOID:1896	
D020258			DOID:3602	
C535761	MESH		DOID:2590	
D006395	MESH		DOID:801	
D006393	MESH		DOID:264	
D006392	MESH		DOID:483	
D014252	MESH		DOID:1255	
D008258	MESH		DOID:0060901|DOID:9080|DOID:0050747	
D014257	MESH		DOID:1252	
D006373	MESH		DOID:883	
D001171	MESH		DOID:676	
D002386			DOID:83	
D004415	MESH		DOID:2321	
D001177	MESH		DOID:14286	
D005128			DOID:5614	
D001478	MESH		DOID:2512	
D001477	MESH		DOID:445	
D001471	MESH		DOID:9206	
D009497	MESH		DOID:4964	
D009494	MESH		DOID:10035|DOID:10039|DOID:9988	
D005715	MESH		DOID:12399	
D006971	MESH		DOID:6376	
D006970	MESH		DOID:8619	
D006973			DOID:10763	
D006975	MESH		DOID:10762	
D006974	MESH		DOID:10824	
D006977	MESH		DOID:1073	
D006976	MESH		DOID:6432	
D006978	MESH		DOID:1591	
D008382	MESH		DOID:14323	
D051359	MESH		DOID:0050120	
D050197			DOID:2348|DOID:1936	
D004716	MESH		DOID:1002	
D004715			DOID:289	
D004719	MESH		DOID:12932	
C536063	MESH		DOID:0060849	
D001019	MESH		DOID:3627	
D001018	MESH		DOID:520	
D006344			DOID:1882	
D001014	MESH		DOID:3627	
D010229	MESH		DOID:12662	
D005391	MESH		DOID:12402	
D019512	MESH		DOID:4988	
D014077	MESH		DOID:2498	
D014076	MESH		DOID:1091	
D017600	MESH		DOID:166	
D016893	MESH		DOID:13001	
D009133	MESH		DOID:767	
D016891	MESH		DOID:0110861	
D003876	MESH		DOID:3310	
D051642	MESH		DOID:4231	
D001657	MESH		DOID:4140	
D001651	MESH		DOID:13619	
D001650	MESH		DOID:4606|DOID:4897	
D009668	MESH		DOID:2825	
D010310	MESH		DOID:4333	
D000380	MESH		DOID:12987	
D000381	MESH		DOID:4540	
C535393	MESH		DOID:0090028	
D015673	MESH		DOID:8544	
D007383	MESH		DOID:3669	
D010382	MESH		DOID:914	
D020511	MESH		DOID:439	
D007897	MESH		DOID:9155	
D010489	MESH		DOID:2964	
D010954	MESH		DOID:3721	
D007898	MESH		DOID:9146	
D015470			DOID:9119	
D015473	MESH		DOID:0060318	
D004806	MESH		DOID:5500|DOID:5505|DOID:4844|DOID:5075	
D029502	MESH		DOID:1342	
D010001	MESH		DOID:5408	
D010554	MESH		DOID:1509|DOID:2745	
D010007	MESH		DOID:84	
D007945	MESH		DOID:1037	
D010005	MESH		DOID:10393	
D007948	MESH		DOID:8864	
D024801	MESH		DOID:680	
D010927	MESH		DOID:3891	
D015154	MESH		DOID:9192	
D015210	MESH		DOID:13189	
D015211	MESH		DOID:905	
D015212			DOID:0050589	
D007767	MESH		DOID:13929	
D007766	MESH		DOID:1400|DOID:13757	
D011681	MESH		DOID:238	
D046768	MESH		DOID:13317	
D018589	MESH		DOID:11914	
D008538	MESH		DOID:3982	
D020176	MESH		DOID:9275	
D009155	MESH		DOID:4189	
D008531	MESH		DOID:11372	
D019698	MESH		DOID:1883	
D007006	MESH		DOID:1924	
D016410	MESH		DOID:0060061	
D007007	MESH		DOID:11155|DOID:11156	
D019693	MESH		DOID:2048	
D019694	MESH		DOID:2043	
D002813	MESH		DOID:3371	
D006069	MESH		DOID:7551	
D017237	MESH		DOID:890	
D007160	MESH		DOID:2916	
D015858	MESH		DOID:12273	
D007169	MESH		DOID:8504	
D056586	MESH		DOID:1584	
102530	OMIM		DOID:14227	
D005928	MESH		DOID:1456	
D018783	MESH		DOID:4762	
D005923	MESH		DOID:1312	
D047748	MESH		DOID:3946	
D013132	MESH		DOID:9277	
D013130	MESH		DOID:6725	
D003398	MESH		DOID:2340	
D003424	MESH		DOID:0060192|DOID:8778	
D003394	MESH		DOID:2339	
D005921	MESH		DOID:2921	
D046349	MESH		DOID:13269	
D019189	MESH		DOID:2351	
D012080	MESH		DOID:13068	
D003731			DOID:216	
D056693	MESH		DOID:14701	
D003551	MESH		DOID:10079	
D005585	MESH		DOID:4492	
D008947	MESH		DOID:3492	
D017043	MESH		DOID:9903	
D003784	MESH		DOID:5608	
D013684	MESH		DOID:1272	
D002062	MESH		DOID:2965|DOID:14188	
D013683	MESH		DOID:1270	
D009069	MESH		DOID:480|DOID:9854	
D008209	MESH		DOID:4977	
D001254			DOID:7008|DOID:7005|DOID:5077|DOID:6726|DOID:4851|DOID:3078|DOID:3069|DOID:6811|DOID:7007	
D003882	MESH		DOID:10223|DOID:14203	
D012532	MESH		DOID:8295	
D013919	MESH		DOID:12918	
D003930	MESH		DOID:8947	
D006562	MESH		DOID:8536	
D006561	MESH		DOID:8566	
D014245	MESH		DOID:1947	
D009396			DOID:2154	
D009397	MESH		DOID:12679	
D002607	MESH		DOID:10595	
D005148	MESH		DOID:3134	
D005499	MESH		DOID:4409	
D005141	MESH		DOID:530	
D013590	MESH		DOID:9856	
D018901	MESH		DOID:906	
D005142	MESH		DOID:2173	
D012626	MESH		DOID:5759	
D012791	MESH		DOID:4752	
D054061	MESH		DOID:5587	
D049950	MESH		DOID:11202	
D014591			DOID:345	
D009224	MESH		DOID:2106	
D002286	MESH		DOID:5050	
D007636	MESH		DOID:3149	
D002283	MESH		DOID:3904	
D002282	MESH		DOID:4926	
D002280			DOID:2513	
D001260	MESH		DOID:12704	
D002289	MESH		DOID:3908	
D002288	MESH		DOID:3030	
D006966	MESH		DOID:12700	
D006967			DOID:1205	
D006962	MESH		DOID:12466	
D006960	MESH		DOID:2977	
D054198			DOID:5600	
D004701	MESH		DOID:170	
C538090	MESH		DOID:4001	
D001008			DOID:2030	
D023903	MESH		DOID:4247	
D001002	MESH		DOID:2983	
D001004	MESH		DOID:3128	
D001005	MESH		DOID:4551|DOID:4908	
D001006	MESH		DOID:10488	
D014069	MESH		DOID:10456	
D014060	MESH		DOID:10944	
D008288	MESH		DOID:12365	
D014062	MESH		DOID:8649	
D014067	MESH		DOID:8858	
D020425	MESH		DOID:12171|DOID:12170	
D004454	MESH		DOID:4188	
D001649	MESH		DOID:4138	
D001480	MESH		DOID:679	
D055009	MESH		DOID:2247	
D002012	MESH		DOID:2846	
D054537	MESH		DOID:0050820	
D044584	MESH		DOID:3007	
D006394	MESH		DOID:0001816	
D001184	MESH		DOID:4186	
D008637	MESH		DOID:2668	
D015441	MESH		DOID:1025	
D015440	MESH		DOID:10887	
D008202	MESH		DOID:1475	
D011565	MESH		DOID:8893|DOID:4398	
D011561	MESH		DOID:2738	
D007951			DOID:8692|DOID:8593	
D007952	MESH		DOID:9513	
D015043	MESH		DOID:0050782	
D011218	MESH		DOID:11983	
D010612			DOID:2275	
D010610	MESH		DOID:0050741|DOID:0060119	
D010580	MESH		DOID:3852	
D034721	MESH		DOID:4798|DOID:349|DOID:4660	
D009837	MESH		DOID:3183|DOID:3181|DOID:3186|DOID:7912	
D011693	MESH		DOID:3326	
D011694	MESH		DOID:3325	
D011695	MESH		DOID:11123	
D011697	MESH		DOID:10772	
D008831	MESH		DOID:10907	
D024821			DOID:14221	
D036981	MESH		DOID:9600	
D005759	MESH		DOID:2326	
D001437	MESH		DOID:1412	
D011009			DOID:12522|DOID:10316	
D012983			DOID:0060123	
D017202			DOID:3393	
D015535	MESH		DOID:9008	
D007177	MESH		DOID:3401	
D007174	MESH		DOID:10937|DOID:12401|DOID:12400	
D011000	MESH		DOID:10882	
D054990	MESH		DOID:0050156	
D009902	MESH		DOID:1210	
D053098	MESH		DOID:0050445	
D002822	MESH		DOID:3594	
D011186	MESH		DOID:2364	
D013120	MESH		DOID:5612	
D013125	MESH		DOID:5612	
D003410	MESH		DOID:12580	
D006177	MESH		DOID:12698|DOID:11603	
D012186	MESH		DOID:5875	
D017119	MESH		DOID:3132	
D017118	MESH		DOID:3890	
D016750	MESH		DOID:13366	
D030342	MESH		DOID:630	
D020301	MESH		DOID:13100	
D003095	MESH		DOID:854	
D003093			DOID:8577	
D003092	MESH		DOID:0060180	
D017599	MESH		DOID:171	
D017590	MESH		DOID:636	
D020277	MESH		DOID:2536|DOID:5213	
D012507	MESH		DOID:11335	
D020275	MESH		DOID:12842	
D011778	MESH		DOID:11100	
D012509			DOID:6193|DOID:4235	
D054331	MESH		DOID:0050457	
C535700	MESH		DOID:5758	
D057973	MESH		DOID:0050699	
D005156	MESH		DOID:13865	
D013584	MESH		DOID:5485	
D005155	MESH		DOID:14075|DOID:1756	
D014277	MESH		DOID:12098	
D002613	MESH		DOID:0060312|DOID:1762	
D005158	MESH		DOID:13934	
D013272	MESH		DOID:76	
D013276	MESH		DOID:10808	
D018917	MESH		DOID:12010	
D012614	MESH		DOID:13724	
D002357	MESH		DOID:2557|DOID:1222	
D003677	MESH		DOID:5113	
D002277	MESH		DOID:4015|DOID:305	
D004605	MESH		DOID:12211	
D004604			DOID:4976	
D002295	MESH		DOID:2671	
D002296	MESH		DOID:4236	
D018357	MESH		DOID:1273	
D002292			DOID:4465|DOID:4464|DOID:4467|DOID:4473|DOID:4471|DOID:4450	
D002545			DOID:2316	
D001251	MESH		DOID:11782	
D018358	MESH		DOID:169	
D009230	MESH		DOID:11634	
D001929	MESH		DOID:4724	
D001927	MESH		DOID:936	
C537771	MESH		DOID:11014	
D000033	MESH		DOID:9667	
D009393	MESH		DOID:10952	
D009395	MESH		DOID:1063	
D009347	MESH		DOID:4968	
D011702	MESH		DOID:2744	
D012878	MESH		DOID:4159|DOID:3165	
C538421	MESH		DOID:0110734	
D007418	MESH		DOID:3878|DOID:8442	
D007415	MESH		DOID:8437	
D007414	MESH		DOID:4610|DOID:10155	
D007416	MESH		DOID:2074	
D007410	MESH		DOID:5295	
D004461	MESH		DOID:13593	
D001100	MESH		DOID:12156	
D001102	MESH		DOID:934	
D014123	MESH		DOID:9965	
D010373	MESH		DOID:5502	
D010378	MESH		DOID:13351	
D004184	MESH		DOID:1082	
D015456	MESH		DOID:9953	
D015451	MESH		DOID:1040	
D015458	MESH		DOID:715	
D015459	MESH		DOID:5603|DOID:0050523	
D000347	MESH		DOID:2236	
D013262	MESH		DOID:0050426	
D007562	MESH		DOID:11949	
D007567	MESH		DOID:2383	
D001749			DOID:11054	
D001748	MESH		DOID:13948	
D001745	MESH		DOID:365	
D001744	MESH		DOID:11355	
D007968	MESH		DOID:643	
D007960	MESH		DOID:9500	
D011225			DOID:10591	
D016506	MESH		DOID:0050429	
D007984	MESH		DOID:2696	
D000506	MESH		DOID:986	
D005833	MESH		DOID:120	
D005832	MESH		DOID:48	
D005834	MESH		DOID:3856	
D009072	MESH		DOID:13099	
D012628	MESH		DOID:8741	
D008231	MESH		DOID:614	
D038261	MESH		DOID:4252	
D011649	MESH		DOID:12120	
D056769	MESH		DOID:0050473	
D015529	MESH		DOID:899	
D007340	MESH		DOID:3892	
D005901	MESH		DOID:1686	
D005902	MESH		DOID:1067	
D005909	MESH		DOID:3068|DOID:3074	
D018437	MESH		DOID:606	
D009916	MESH		DOID:930	
D009914	MESH		DOID:5773	
D018438	MESH		DOID:14121	
D013118	MESH		DOID:319	
D010510	MESH		DOID:3388	
D007020	MESH		DOID:2235	
D007021			DOID:10892	
D017588	MESH		DOID:11613	
D003248	MESH		DOID:2089	
D000169	MESH		DOID:2722	
D003711	MESH		DOID:3213	
D003240	MESH		DOID:65	
D003715	MESH		DOID:12205	
D055496	MESH		DOID:13419	
D017565	MESH		DOID:13406	
D012516	MESH		DOID:3347	
D012514	MESH		DOID:8632	
D017563			DOID:3082	
D000544			DOID:10652	
D013064	MESH		DOID:92	
D010439	MESH		DOID:752	
D000274	MESH		DOID:3928	
D002446	MESH		DOID:10608	
188890	OMIM		DOID:0050742	
D003409	MESH		DOID:0050328	
D018290	MESH		DOID:8991	
D018921	MESH		DOID:12986	
D018923	MESH		DOID:4491	
D014262	MESH		DOID:4080	
D014917	MESH		DOID:1116	
D006349	MESH		DOID:4079	
D009134	MESH		DOID:318|DOID:12377	
D009135	MESH		DOID:423	
D009136	MESH		DOID:9884	
D006345			DOID:1657	
D006343	MESH		DOID:1681	
D012608	MESH		DOID:5434	
D020516	MESH		DOID:3690	
D020514	MESH		DOID:14452	
D003668	MESH		DOID:8717	
D013281	MESH		DOID:9663	
D008199	MESH		DOID:1602	
D008193	MESH		DOID:11729	
D001249			DOID:2841	
D005235	MESH		DOID:9452	
D005234			DOID:9452	
D014604	MESH		DOID:3479	
D014605	MESH		DOID:13141	
D014606	MESH		DOID:1407	
D014607	MESH		DOID:12297	
D009220	MESH		DOID:633	
D006849	MESH		DOID:10908|DOID:1573|DOID:14159	
D009223	MESH		DOID:11722	
D014594			DOID:363	
D020429	MESH		DOID:1187	
D020428	MESH		DOID:4196	
D055623	MESH		DOID:8866	
D020422	MESH		DOID:1188	
D020421	MESH		DOID:12491	
D020427	MESH		DOID:4201|DOID:6925	
D020426	MESH		DOID:12528|DOID:11446	
D001932			DOID:1319	
D020424	MESH		DOID:4613	
D001022	MESH		DOID:57	
D001024	MESH		DOID:1712	
D001025	MESH		DOID:519	
D019522	MESH		DOID:3767	
D026681	MESH		DOID:8455	
D002032	MESH		DOID:12129	
D042883	MESH		DOID:11755	
D031300	MESH		DOID:11563	
D006831	MESH		DOID:8488	
D006832	MESH		DOID:4626	
D002825	MESH		DOID:8886	
D000752	MESH		DOID:13381	
D000751	MESH		DOID:11244	
D007409	MESH		DOID:10486	
D000756	MESH		DOID:8955	
D000755	MESH		DOID:10923	
D000196	MESH		DOID:8478	
C536380	MESH		DOID:8931	
D004476	MESH		DOID:14693	
D006961	MESH		DOID:13543	
D004700	MESH		DOID:28	
D008175			DOID:3683	
D008173	MESH		DOID:2320	
D008171			DOID:850	
D014136	MESH		DOID:9392	
D014134	MESH		DOID:248	
D014135	MESH		DOID:3227	
D014133	MESH		DOID:3225	
D054559	MESH		DOID:0050459	
D016104	MESH		DOID:12215	
D006106	MESH		DOID:2999	
D015423	MESH		DOID:13452	
D015422	MESH		DOID:11343	
D000377	MESH		DOID:4090	
D000379	MESH		DOID:593	
D002539	MESH		DOID:3527	
D009748	MESH		DOID:374	
D001759	MESH		DOID:12663	
D011507			DOID:576	
D001750	MESH		DOID:12143	
D051677	MESH		DOID:1907	
D007973	MESH		DOID:3766	
D007970	MESH		DOID:615	
D020192	MESH		DOID:3534	
D020191	MESH		DOID:891|DOID:0060162	
D020190	MESH		DOID:4890	
D020195	MESH		DOID:2548	
D020194	MESH		DOID:3535	
D019082	MESH		DOID:14692	
D015834	MESH		DOID:5463	
D011349	MESH		DOID:3127	
D010123	MESH		DOID:7457	
D011654	MESH		DOID:11396	
D011655			DOID:9477	
D011657	MESH		DOID:5870|DOID:9498|DOID:9503	
D011658			DOID:3770|DOID:2797	
D012829			DOID:10325	
D015882	MESH		DOID:3611	
D005910			DOID:3070|DOID:5076	
D003324	MESH		DOID:3393	
D003323	MESH		DOID:3362	
D012859	MESH		DOID:12894	
D012857	MESH		DOID:758	
D012851	MESH		DOID:3572	
D012295	MESH		DOID:1328	
D006316	MESH		DOID:10003	
D008661	MESH		DOID:655	
D016778	MESH		DOID:14067	
D016779	MESH		DOID:14069	
D016773	MESH		DOID:9111	
D014435	MESH		DOID:13258	
D019263	MESH		DOID:12139	
D052256	MESH		DOID:971	
D041761	MESH		DOID:11151	
D045822	MESH		DOID:8445	
D002581	MESH		DOID:9681	
D002583			DOID:4362	
D002493	MESH		DOID:331	
D003877	MESH		DOID:2773	
D012078	MESH		DOID:2972	
D003874	MESH		DOID:8505	
D003872	MESH		DOID:2723	
D020526	MESH		DOID:3523	
D010760	MESH		DOID:2485	
D006111	MESH		DOID:12361	
D006486	MESH		DOID:12119	
D017484	MESH		DOID:4407	
D020522	MESH		DOID:0050746	
D017488	MESH		DOID:4603	
D005134	MESH		DOID:2174	
D018285	MESH		DOID:4927	
D018287			DOID:4552	
D018288	MESH		DOID:5411	
D014927	MESH		DOID:384	
D009101			DOID:9538	
D009103			DOID:2377	
D002054	MESH		DOID:4331	
D017449			DOID:3042	
D003699	MESH		DOID:2047	
D002051			DOID:8584	
D014854	MESH		DOID:3522	
D012128			DOID:11394	
D003693	MESH		DOID:8645	
D002128	MESH		DOID:10575	
D005076			DOID:0050486	
D008181	MESH		DOID:0080162	
D002294			DOID:0050865|DOID:1749	
D009214	MESH		DOID:2691	
D009216	MESH		DOID:11830	
D045602	MESH		DOID:10602	
D006932	MESH		DOID:2741	
D054144	MESH		DOID:9775	
D054143	MESH		DOID:9651	
D020431	MESH		DOID:367	
D020432	MESH		DOID:13864	
D020434	MESH		DOID:10865	
D020435	MESH		DOID:14423|DOID:7558	
D001906	MESH		DOID:11976	
D012555	MESH		DOID:0050597	
D007818	MESH		DOID:786	
D004067	MESH		DOID:3119	
D004066	MESH		DOID:77	
D009369			DOID:162	
D000987	MESH		DOID:10939	
D004660	MESH		DOID:9588	
D000740			DOID:2355	
D000741	MESH		DOID:12449	
D000743	MESH		DOID:583	
D000744	MESH		DOID:718	
D000747	MESH		DOID:11759	
D000748	MESH		DOID:2361	
D000749	MESH		DOID:13382	
D010282	MESH		DOID:7608|DOID:1540	
D000405	MESH		DOID:4267	
D004403	MESH		DOID:13250|DOID:12384	
D001162	MESH		DOID:5160	
D013543	MESH		DOID:1383	
D015432	MESH		DOID:2920	
D007500	MESH		DOID:1406	
D015434	MESH		DOID:1526	
D010916	MESH		DOID:9212	
D015439	MESH		DOID:1023	
D001764	MESH		DOID:529	
D009755	MESH		DOID:8499	
D001763	MESH		DOID:0060260	
D001762	MESH		DOID:9423	
D009759	MESH		DOID:13174|DOID:9650|DOID:11771	
D000361	MESH		DOID:2583	
D011535	MESH		DOID:0060889	
D018636	MESH		DOID:9955	
D020852	MESH		DOID:11729	
D005185	MESH		DOID:1963|DOID:1964	
D011085	MESH		DOID:11612	
D020182	MESH		DOID:9220	
D011086	MESH		DOID:8432	
D020186	MESH		DOID:2846	
D020187	MESH		DOID:9091	
D020189	MESH		DOID:9207	
D010623	MESH		DOID:5062	
D008577	MESH		DOID:3565	
D008575	MESH		DOID:9849	
D008579			DOID:3565|DOID:7210|DOID:4588|DOID:4587|DOID:3772|DOID:1138|DOID:8057|DOID:4594|DOID:7213|DOID:7212|DOID:4210|DOID:6114|DOID:6548|DOID:7211|DOID:6869|DOID:4141	
D000568	MESH		DOID:13938	
D000562	MESH		DOID:9181	
D013202	MESH		DOID:96	
D052245	MESH		DOID:0050439	
D011660			DOID:8515	
D011665	MESH		DOID:14265	
D011666			DOID:6420	
D011668	MESH		DOID:5453	
D008881	MESH		DOID:6364	
D008059	MESH		DOID:12802	
D014899	MESH		DOID:2384	
D023981	MESH		DOID:8683	
D018410	MESH		DOID:874	
D016569	MESH		DOID:10348	
D011248			DOID:780	
D016706	MESH		DOID:14256	
D007037			DOID:1459	
D007039	MESH		DOID:4535	
D054438	MESH		DOID:0060597	
D013001			DOID:4737|DOID:13918	
D003047	MESH		DOID:13450	
D009021	MESH		DOID:2560	
D006030	MESH		DOID:9432	
D020225	MESH		DOID:3576	
D003865			DOID:1470	
D020227	MESH		DOID:3574	
D017545	MESH		DOID:14004	
D017492	MESH		DOID:6498	
D006103	MESH		DOID:9072	
D017497	MESH		DOID:2280	
D017499	MESH		DOID:3805	
D002481			DOID:3488	
D008113			DOID:3571	
D007969	MESH		DOID:13088	
D013716	MESH		DOID:14087	
D006323	MESH		DOID:0060319	
D052880	MESH		DOID:876	
D014848	MESH		DOID:2273	
D013398			DOID:9007	
D014846	MESH		DOID:1245	
D014847	MESH		DOID:3901	
D014845	MESH		DOID:2059	
D014623	MESH		DOID:121	
D014627	MESH		DOID:2170	
D014625	MESH		DOID:119	
D001228	MESH		DOID:13564	
D001229	MESH		DOID:13166	
D007889			DOID:13223|DOID:127	
D009202	MESH		DOID:0050700	
D019896	MESH		DOID:13372	
D006925	MESH		DOID:10074	
D005211	MESH		DOID:885	
D009209	MESH		DOID:431	
D006258	MESH		DOID:11934	
D013625	MESH		DOID:2508	
D001449			DOID:3052	
D005693	MESH		DOID:14695|DOID:9870	
D008080	MESH		DOID:5702|DOID:3382	
D008088	MESH		DOID:11573	
D002805	MESH		DOID:1156	
D002806	MESH		DOID:2581	
D014718	MESH		DOID:9620	
D014717	MESH		DOID:2479	
D014715	MESH		DOID:223|DOID:13095|DOID:13003	
D019305	MESH		DOID:3329	
D006819	MESH		DOID:12716	
D006816	MESH		DOID:12858	
D009375	MESH		DOID:305	
D009373			DOID:688|DOID:2994|DOID:3095	
D004673	MESH		DOID:639|DOID:13664	
D004678	MESH		DOID:2034	
D004679	MESH		DOID:640	
C537630	MESH		DOID:0111079	
D001170	MESH		DOID:813	
D001172			DOID:7148	
D004413	MESH		DOID:1934	
D000172	MESH		DOID:2449	
D000881	MESH		DOID:7427	
D003057	MESH		DOID:2962	
D003110			DOID:219|DOID:235	
D008527			DOID:0050902|DOID:3864|DOID:3868|DOID:3861|DOID:3869	
D007511	MESH		DOID:326	
D010383	MESH		DOID:8457	
D029481			DOID:6132	
D007516	MESH		DOID:1799|DOID:3892	
D010437	MESH		DOID:750	
D001157	MESH		DOID:341	
D010921	MESH		DOID:4744	
D010922	MESH		DOID:780	
D009765			DOID:9970	
D001778	MESH		DOID:1247	
D000310	MESH		DOID:3953	
D021441	MESH		DOID:3587	
D011528	MESH		DOID:2789	
C562393	MESH		DOID:8923	
C531609	MESH		DOID:0060157	
D011371	MESH		DOID:3911	
D000224	MESH		DOID:13774	
D000550	MESH		DOID:10376|DOID:10375	
D015715	MESH		DOID:11030	
D000795	MESH		DOID:14499	
D012173	MESH		DOID:3612|DOID:10176	
D000793	MESH		DOID:13401	
D000799	MESH		DOID:1558	
D007680	MESH		DOID:263	
D007681	MESH		DOID:2981	
D029242	MESH		DOID:705	
D007683	MESH		DOID:12556	
D015576	MESH		DOID:205	
D011671	MESH		DOID:11121	
D020083	MESH		DOID:13677	
C562730	MESH		DOID:4914	
D008415	MESH		DOID:350	
D008413	MESH		DOID:10690	
D016603	MESH		DOID:998	
D009783	MESH		DOID:4404	
D011707	MESH		DOID:12639	
D011704	MESH		DOID:11400	
D012871			DOID:37	
D012872	MESH		DOID:2731|DOID:8508	
D007674			DOID:557	
D007676			DOID:784	
D012279	MESH		DOID:10609	
D056889	MESH		DOID:0050476	
D007027	MESH		DOID:1931|DOID:6676	
D020152	MESH		DOID:3755	
D020151	MESH		DOID:3756	
D003218	MESH		DOID:11168	
D020158	MESH		DOID:9268	
D019043	MESH		DOID:175	
D019042	MESH		DOID:4045|DOID:461	
D006009	MESH		DOID:2752	
D006008	MESH		DOID:2747	
D017029	MESH		DOID:12382	
D012019	MESH		DOID:1811	
D020232	MESH		DOID:2510	
D012010	MESH		DOID:1340	
D020236	MESH		DOID:13027	
D020235	MESH		DOID:4260	
D016393	MESH		DOID:707	
D003329	MESH		DOID:11840	
D003328	MESH		DOID:11847	
D003327			DOID:3393	
D003457	MESH		DOID:1733	
D003456			DOID:11383	
D004421	MESH		DOID:543	
D003453	MESH		DOID:12053	
D003320	MESH		DOID:8463	
D014437	MESH		DOID:11256	
D006646	MESH		DOID:2571	
D006319	MESH		DOID:10003	
D006484	MESH		DOID:9746	
D017445	MESH		DOID:9540	
D006480	MESH		DOID:11266	
D020520	MESH		DOID:3454	
D020521			DOID:6713	
D013700	MESH		DOID:13375	
D020528	MESH		DOID:0050784|DOID:0050785|DOID:0050783	
D020529	MESH		DOID:2378	
D006986	MESH		DOID:9972	
D004935	MESH		DOID:6050	
D004933	MESH		DOID:10485	
D004931	MESH		DOID:13186|DOID:9164	
D004938			DOID:5041	
D005203			DOID:14453|DOID:2708	
D014385	MESH		DOID:404	
D005208	MESH		DOID:9598	
D014890			DOID:12132	
D019867	MESH		DOID:9808	
D014898	MESH		DOID:5688	
D020417	MESH		DOID:9649	
D005067	MESH		DOID:2856	
D002812	MESH		DOID:2602	
D002817	MESH		DOID:3302	
D006869	MESH		DOID:11111	
D018240	MESH		DOID:1911	
D018241	MESH		DOID:3369	
D018242			DOID:0050902|DOID:4790|DOID:7398|DOID:4794	
D018243	MESH		DOID:3305	
D009303	MESH		DOID:9261	
D009304	MESH		DOID:10460	
D004427	MESH		DOID:2742	
D004422	MESH		DOID:0050835	
D016727	MESH		DOID:9369	
D004428	MESH		DOID:833|DOID:5101	
D007634	MESH		DOID:4677	
C536778	MESH		DOID:14365	
D000168	MESH		DOID:12960|DOID:14768|DOID:14705	
D000160	MESH		DOID:12657	
D000163	MESH		DOID:635	
C536773	MESH		DOID:4157	
D054747	MESH		DOID:8580	
D016921	MESH		DOID:11608	
D016920	MESH		DOID:9470	
D016584	MESH		DOID:594	
