CTD MESH/OMIM 	 type 	 CTD cuis divided by | 	 Disease ontology divided by | 	 cui names 
D001941	MESH		DOID:3463	
D001943			DOID:1612	
D002305	MESH		DOID:115	
D014985	MESH		DOID:10138	
D013585	MESH		DOID:2703	
D014983	MESH		DOID:0050427	
D002754	MESH		DOID:9574	
D018268	MESH		DOID:3948	
D018269	MESH		DOID:2871	
D004407	MESH		DOID:4441	
D014571			DOID:731	
D018262	MESH		DOID:4468	
D018263	MESH		DOID:3962	
D006689			DOID:8654|DOID:8567|DOID:8543|DOID:8651|DOID:8628	
D000303	MESH		DOID:3952	
D020760	MESH		DOID:178	
D020762	MESH		DOID:3821	
D002169	MESH		DOID:13622	
D020765	MESH		DOID:13089	
D020766	MESH		DOID:4372	
D020767	MESH		DOID:4193	
D000140	MESH		DOID:3650	
D000141	MESH		DOID:14219	
D004684	MESH		DOID:10992|DOID:5222	
D001862	MESH		DOID:0080011	
D016905	MESH		DOID:104	
D045823	MESH		DOID:8440	
D016908	MESH		DOID:104	
D004416	MESH		DOID:10041	
D000856	MESH		DOID:8689	
D000326	MESH		DOID:10588	
D000858	MESH		DOID:3781	
D001528	MESH		DOID:13241	
D001523			DOID:150	
C563236	MESH		DOID:5557	
D010244	MESH		DOID:681	
D007251			DOID:8469	
D052177	MESH		DOID:2975	
D054058	MESH		DOID:326	
D011045	MESH		DOID:12961	
D009886	MESH		DOID:539	
D009889	MESH		DOID:13768	
D007499	MESH		DOID:240	
D015161	MESH		DOID:8725	
D010911	MESH		DOID:3829|DOID:1785|DOID:4916	
D007673	MESH		DOID:2973	
D015433	MESH		DOID:10976	
D025242	MESH		DOID:1123	
D008444	MESH		DOID:1358	
D015614	MESH		DOID:3405	
D012804	MESH		DOID:13884	
D002278	MESH		DOID:8719	
D010520	MESH		DOID:9893|DOID:1474	
D053713	MESH		DOID:14227	
D015299	MESH		DOID:10986	
D015518	MESH		DOID:1206	
D010523	MESH		DOID:574	
D007011	MESH		DOID:11199	
D006402	MESH		DOID:74	
D016585	MESH		DOID:3385	
D007079	MESH		DOID:0060189	
D003229	MESH		DOID:4251	
D020163	MESH		DOID:9271	
D008591	MESH		DOID:0060326	
D008590	MESH		DOID:10554	
D004314	MESH		DOID:14250	
D003790	MESH		DOID:11623	
D008180			DOID:9074	
D004310	MESH		DOID:6406	
D007153	MESH		DOID:612	
D015835	MESH		DOID:1279|DOID:538|DOID:10235	
D007105	MESH		DOID:1557	
D015837	MESH		DOID:3426	
D013991	MESH		DOID:14021	
D012600	MESH		DOID:0060249	
D004238	MESH		DOID:7475	
D005891	MESH		DOID:3087	
D013971	MESH		DOID:7997	
D014402	MESH		DOID:13515	
D009157	MESH		DOID:437	
D006479	MESH		DOID:12287	
D006474	MESH		DOID:2213	
D003480	MESH		DOID:12252	
D006504	MESH		DOID:0080177	
D003550	MESH		DOID:1485	
D006073	MESH		DOID:13189	
D003554	MESH		DOID:1064	
D003555	MESH		DOID:9266	
D003556	MESH		DOID:1679	
D003557	MESH		DOID:1631|DOID:3016	
D002575	MESH		DOID:2568	
D002577	MESH		DOID:2253	
D002291	MESH		DOID:3113	
D005258	MESH		DOID:11042	
D019851	MESH		DOID:2452	
D002759	MESH		DOID:5381	
D001883	MESH		DOID:10930	
D002971			DOID:9296	
D001885	MESH		DOID:1116	
D002972			DOID:674	
D018856	MESH		DOID:13949|DOID:1678	
D013478	MESH		DOID:3557	
D009080			DOID:13378	
D012751	MESH		DOID:8541	
D009084	MESH		DOID:12801	
D010488	MESH		DOID:9810	
